arm,eta,R_m,seed,C_realised,C_asymptotic,n_cells_total,mean_members,tour_len_m,T1_s,max_kappa_rho,solver,words,wall_s,schema_version,prov_id
bhh,0.0,60,1054,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1055,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1056,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1057,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1058,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1059,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1060,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1061,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1062,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1063,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1064,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1065,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1066,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1067,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1068,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1069,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1070,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1071,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1072,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1073,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1074,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1075,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1076,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1077,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1078,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1079,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1080,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1081,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1082,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1083,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1084,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1085,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1086,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1087,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1088,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1089,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1090,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1091,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1092,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1093,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1094,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1095,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1096,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1097,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1098,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1099,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1100,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1101,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1102,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1103,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1104,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1105,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1106,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1107,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,60,1108,120,106.9167,120,20.833,7803.951,390.1975,,bhh,,,1,2ecafea49cc551ff
