time_seconds,src_node_id,dst_node_id,fragment_id,success,rssi_dbm
5.2,101,4294967295,0,false,0
5.4,101,4294967295,1,false,0
5.6,101,4294967295,2,false,0
5.8,101,4294967295,3,false,0
6,101,4294967295,4,false,0
6.2,101,4294967295,5,false,0
6.4,101,4294967295,6,false,0
6.6,101,4294967295,7,false,0
6.8,101,4294967295,8,false,0
7,101,4294967295,9,false,0
7.2,101,4294967295,0,false,0
7.4,101,4294967295,1,false,0
7.6,101,4294967295,2,false,0
7.8,101,4294967295,3,false,0
8,101,4294967295,4,false,0
8.2,101,4294967295,5,false,0
8.4,101,4294967295,6,false,0
8.6,101,4294967295,7,false,0
8.8,101,4294967295,8,false,0
9,101,4294967295,9,false,0
9.2,101,4294967295,0,false,0
9.4,101,4294967295,1,false,0
9.6,101,4294967295,2,false,0
9.8,101,4294967295,3,false,0
10,101,4294967295,4,false,0
10.2,101,4294967295,5,false,0
10.4,101,4294967295,6,false,0
10.6,101,4294967295,7,false,0
10.8,101,4294967295,8,false,0
11,101,4294967295,9,false,0
11.2,101,4294967295,0,false,0
11.4,101,4294967295,1,false,0
11.6,101,4294967295,2,false,0
11.8,101,4294967295,3,false,0
12,101,4294967295,4,false,0
12.2,101,4294967295,5,false,0
12.4,101,4294967295,6,false,0
12.6,101,4294967295,7,false,0
12.8,101,4294967295,8,false,0
13,101,4294967295,9,false,0
13.2,101,4294967295,0,false,0
13.4,101,4294967295,1,false,0
13.6,101,4294967295,2,false,0
13.8,101,4294967295,3,true,-90.4019
13.8,101,50,3,true,-90.4019
14,101,4294967295,4,false,0
14.2,101,4294967295,5,true,-93.6248
14.2,101,30,5,true,-93.6248
14.2,101,50,5,true,-84.1407
14.4,101,4294967295,6,true,-67.3597
14.4,101,40,6,true,-67.3597
14.4,101,50,6,true,-89.4131
14.6,101,4294967295,7,true,-94.3196
14.6,101,30,7,true,-94.3196
14.6,101,50,7,true,-81.9218
14.8,101,4294967295,8,true,-90.5715
14.8,101,30,8,true,-90.5715
14.8,101,40,8,true,-73.8082
14.8,101,41,8,true,-89.8091
14.8,101,50,8,true,-91.3431
14.8,101,51,8,true,-89.752
15,101,4294967295,9,true,-89.8448
15,101,30,9,true,-89.8448
15,101,40,9,true,-67.4769
15,101,41,9,true,-78.124
15.2,101,4294967295,0,true,-70.2479
15.2,101,40,0,true,-70.2479
15.2,101,50,0,true,-62.4621
15.2,101,51,0,true,-78.3634
15.4,101,4294967295,1,true,-77.0168
15.4,101,40,1,true,-77.0168
15.4,101,41,1,true,-79.6056
15.4,101,51,1,true,-89.5297
15.6,101,4294967295,2,true,-94.5632
15.6,101,40,2,true,-94.5632
15.6,101,50,2,true,-88.3254
15.6,101,51,2,true,-88.6904
15.8,101,4294967295,3,true,-84.9415
15.8,101,40,3,true,-84.9415
15.8,101,41,3,true,-70.1625
15.8,101,50,3,true,-73.7813
15.8,101,51,3,true,-74.1985
16,101,4294967295,4,true,-88.127
16,101,31,4,true,-88.127
16,101,41,4,true,-83.0672
16,101,50,4,true,-83.1809
16,101,51,4,true,-85.7306
16.2,101,4294967295,5,true,-92.6621
16.2,101,40,5,true,-92.6621
16.2,101,41,5,true,-87.4518
16.2,101,42,5,true,-76.584
16.4,101,4294967295,6,true,-84.8705
16.4,101,41,6,true,-84.8705
16.4,101,42,6,true,-94.6408
16.4,101,52,6,true,-88.4342
16.6,101,4294967295,7,true,-94.8004
16.6,101,41,7,true,-94.8004
16.6,101,51,7,true,-90.6867
16.6,101,52,7,true,-89.36
16.8,101,4294967295,8,true,-91.8365
16.8,101,41,8,true,-91.8365
16.8,101,42,8,true,-90.6362
16.8,101,51,8,true,-76.3892
16.8,101,52,8,true,-93.5404
17,101,4294967295,9,true,-91.5475
17,101,41,9,true,-91.5475
17,101,51,9,true,-79.6277
17,101,52,9,true,-86.3585
17.2,101,4294967295,0,true,-75.6359
17.2,101,41,0,true,-75.6359
17.2,101,42,0,true,-93.9515
17.2,101,51,0,true,-73.2618
17.3099,101,51,5,false,0
17.3099,101,51,6,false,0
17.4,101,4294967295,1,true,-73.5594
17.4,101,41,1,true,-73.5594
17.4,101,51,1,true,-70.89
17.4,101,61,1,true,-72.3566
17.6,101,4294967295,2,true,-76.4138
17.6,101,51,2,true,-76.4138
17.6,101,52,2,true,-80.9937
17.6,101,61,2,true,-63.105
17.6,101,62,2,true,-84.7468
17.8,101,4294967295,3,true,-69.8618
17.8,101,51,3,true,-69.8618
17.8,101,52,3,true,-87.0485
17.8,101,62,3,true,-81.421
18,101,4294967295,4,true,-91.1978
18,101,51,4,true,-91.1978
18,101,61,4,true,-54.2136
18,101,62,4,true,-94.6947
18,101,71,4,true,-93.3163
18.2,101,4294967295,5,true,-91.183
18.2,101,51,5,true,-91.183
18.2,101,61,5,true,-61.2657
18.2,101,62,5,true,-93.4039
18.2,101,71,5,true,-89.5325
18.4,101,4294967295,6,true,-90.1855
18.4,101,51,6,true,-90.1855
18.4,101,61,6,true,-75.8469
18.4,101,62,6,true,-85.8342
18.4,101,71,6,true,-91.2148
18.4,101,72,6,true,-86.5308
18.6,101,4294967295,7,true,-87.3498
18.6,101,61,7,true,-87.3498
18.6,101,62,7,true,-72.8944
18.6,101,71,7,true,-81.4387
18.6,101,72,7,true,-90.0367
18.8,101,4294967295,8,true,-82.2304
18.8,101,61,8,true,-82.2304
18.8,101,71,8,true,-82.597
