time_seconds,x_meters,y_meters,z_meters
0,190,-200,20
1,190,-200,20
2,190,-200,20
3,190,-200,20
4,190,-200,20
5,190,-200,20
6,184.584,-180.777,18.9379
7,179.167,-161.553,17.8759
8,173.751,-142.33,16.8138
9,168.334,-123.107,15.7518
10,162.918,-103.884,14.6897
11,157.501,-84.6605,13.6276
12,152.085,-65.4372,12.5656
13,146.668,-46.2139,11.5035
14,141.252,-26.9907,10.4415
15,135.835,-7.76744,9.37942
16,130.419,11.4558,8.31736
17,125.002,30.6791,7.2553
18,119.586,49.9023,6.19324
19,114.169,69.1256,5.13118
20,108.753,88.3488,4.06912
21,103.336,107.572,3.00707
22,97.9195,126.795,1.94501
23,92.503,146.019,0.882949
24,88.0865,165.372,0
25,88.5991,185.365,0
26,89.1118,205.359,0
27,89.6244,225.352,0
28,90.8791,245.274,0
29,94.1671,265.002,0
30,97.455,284.73,0
31,100.726,304.461,0
32,103.94,324.201,0
33,107.153,343.941,0
34,108.075,360.203,0
35,91.2053,349.459,0
36,74.3358,338.716,0
37,57.4663,327.973,0
38,40.5968,317.229,0
39,34.811,298.713,0
40,30.4572,279.193,0
41,26.1034,259.672,0
42,21.7496,240.152,0
43,31.6728,229.689,0
44,51.1877,225.31,0
45,70.7025,220.932,0
46,90.2174,216.554,0
47,109.732,212.175,0
48,129.247,207.797,0
49,148.762,203.419,0
50,164.322,204.371,0
51,165.792,224.317,0
52,167.262,244.263,0
53,168.731,264.209,0
54,170.201,284.155,0
55,171.171,274.707,0.600935
56,171.963,254.739,1.41692
57,172.755,234.771,2.23291
58,173.547,214.804,3.04889
59,174.339,194.836,3.86488
60,175.131,174.868,4.68086
61,175.923,154.901,5.49685
62,176.715,134.933,6.31283
63,177.507,114.965,7.12882
64,178.299,94.9977,7.9448
65,179.091,75.0301,8.76079
66,179.883,55.0624,9.57678
67,180.675,35.0948,10.3928
68,181.467,15.1271,11.2087
69,182.259,-4.84052,12.0247
70,183.051,-24.8082,12.8407
71,183.843,-44.7758,13.6567
72,184.635,-64.7435,14.4727
73,185.427,-84.7111,15.2887
74,186.219,-104.679,16.1047
75,187.011,-124.646,16.9206
76,187.803,-144.614,17.7366
77,188.595,-164.582,18.5526
78,189.387,-184.549,19.3686
79,190,-200,20
80,190,-200,20
81,190,-200,20
82,190,-200,20
83,190,-200,20
84,190,-200,20
85,190,-200,20
86,190,-200,20
87,190,-200,20
88,190,-200,20
89,190,-200,20
90,190,-200,20
91,190,-200,20
92,190,-200,20
93,190,-200,20
94,190,-200,20
95,190,-200,20
96,190,-200,20
97,190,-200,20
98,190,-200,20
99,190,-200,20
100,190,-200,20
101,190,-200,20
102,190,-200,20
103,190,-200,20
104,190,-200,20
105,190,-200,20
106,190,-200,20
107,190,-200,20
108,190,-200,20
109,190,-200,20
110,190,-200,20
111,190,-200,20
112,190,-200,20
113,190,-200,20
114,190,-200,20
115,190,-200,20
116,190,-200,20
117,190,-200,20
118,190,-200,20
119,190,-200,20
120,190,-200,20
121,190,-200,20
122,190,-200,20
123,190,-200,20
124,190,-200,20
125,190,-200,20
126,190,-200,20
127,190,-200,20
128,190,-200,20
129,190,-200,20
130,190,-200,20
131,190,-200,20
132,190,-200,20
133,190,-200,20
134,190,-200,20
135,190,-200,20
136,190,-200,20
137,190,-200,20
138,190,-200,20
139,190,-200,20
140,190,-200,20
141,190,-200,20
142,190,-200,20
143,190,-200,20
144,190,-200,20
145,190,-200,20
146,190,-200,20
147,190,-200,20
148,190,-200,20
