metric,value
detected,false
detection_time_seconds,-1
detection_node_id,95
uav_path_length_meters,1475.48
cooperation_gain,0
total_nodes,400
candidate_nodes,120
total_fragments_delivered,0
fragments_from_uav,0

[CONFIG]
grid_size,20
num_fragments,40
num_uavs,1
uav_altitude_m,20
uav_speed_mps,20
broadcast_interval_s,0.2
seed,2
run_id,2
