time_seconds,x_meters,y_meters,z_meters
0,690,-200,20
0,690,-200,20
0,690,-200,20
1,690,-200,20
1,690,-200,20
1,690,-200,20
2,690,-200,20
2,690,-200,20
2,690,-200,20
3,690,-200,20
3,690,-200,20
3,690,-200,20
4,690,-200,20
4,690,-200,20
4,690,-200,20
5,690,-200,20
5,690,-200,20
5,690,-200,20
6,691.385,-168.15,20
6,691.156,-160.692,20
6,694.057,-141.359,20
7,692.77,-136.3,20
7,692.312,-121.383,20
7,698.114,-82.717,20
8,694.154,-104.45,20
8,693.468,-82.0748,20
8,702.171,-24.0756,20
9,695.539,-72.6007,20
9,694.625,-42.7664,20
9,712.695,28.8144,20
10,696.924,-40.7508,20
10,695.781,-3.45798,20
10,767.845,42.0193,20
11,698.309,-8.90099,20
11,702.031,33.8341,20
11,824.036,34.5156,20
12,699.693,22.9488,20
12,724.99,64.5121,20
12,850,60.7429,20
13,723.411,28.3278,20
13,745.535,96.1416,20
13,838.912,110.432,20
14,753.479,26.1801,20
14,749.701,134.227,20
14,786.547,132.715,20
15,780.712,37.0725,20
15,754.798,171.404,20
15,730.396,128.085,20
16,806.585,40.4573,20
16,792.346,176.935,20
16,675.141,116.364,20
17,829.694,22.0094,20
17,827.167,186.976,20
17,624.598,93.1291,20
18,857.608,18.8804,20
18,850.167,216.576,20
18,577.996,61.5649,20
19,888.109,23.9943,20
19,881.518,226.984,20
19,559.808,37.3388,20
20,913.149,34.6305,20
20,919.107,223.06,20
20,616.687,27.7631,20
21,918.451,65.2264,20
21,956.665,215.808,20
21,615.291,58.2267,20
22,923.753,95.8223,20
22,994.216,207.824,20
22,585.358,108.297,20
23,906.833,103.231,20
23,1024.39,222.772,20
23,544.176,139.499,20
24,876.863,97.0213,20
24,1050.53,250.273,20
24,498.614,150.072,20
25,846.623,94.246,20
25,1085.99,252.834,20
25,529.698,197.888,20
26,816.1,95.0644,20
26,1123.54,250.212,20
26,570.329,237.203,20
27,789.296,103.837,20
27,1160.62,252.437,20
27,590.517,284.863,20
28,768.079,124.552,20
28,1184.73,233.182,20
28,610.217,327.661,20
29,751.273,148.832,20
29,1202.88,203.498,20
29,651.462,360.297,20
30,736.04,174.412,20
30,1240.68,202.383,20
30,680.943,406.902,20
31,720.803,200.654,20
31,1271.71,213.112,20
31,700.11,458.651,20
32,707.417,227.091,20
32,1290.51,245.187,20
32,728.579,501.36,20
33,717.802,256.02,20
33,1301.99,280.887,20
33,768.16,538.126,20
34,728.187,284.95,20
34,1309.98,317.302,20
34,798.657,584.72,20
35,714.274,310.155,20
35,1302.44,354.252,20
35,827.329,632.224,20
36,695.223,334.573,20
36,1282.72,374.419,20
36,862.089,656.262,20
37,687.597,359.969,20
37,1245.57,370.577,20
37,882.818,617.568,20
38,702.059,387.254,20
38,1208.4,370,20
38,895.069,565.517,20
39,716.52,414.539,20
39,1176.12,359.796,20
39,883.79,512.317,20
40,703.747,441.898,20
40,1153.18,330.104,20
40,841.054,517.975,20
41,689.748,469.259,20
41,1119.33,321.072,20
41,820.204,482.624,20
42,689.535,498.489,20
42,1081.14,320.242,20
42,787.889,447.606,20
43,694.902,528.475,20
43,1077.56,345.462,20
43,759.321,412.832,20
44,680.722,551.196,20
44,1090.02,380.154,20
44,745.697,362.004,20
45,656.968,570.36,20
45,1120.68,402.142,20
45,715.905,323.916,20
46,663.826,585.501,20
46,1152.95,421.179,20
46,755.318,283.308,20
47,691.796,597.869,20
47,1187.96,435.185,20
47,743.138,228.85,20
48,708.995,617.929,20
48,1203.04,464.331,20
48,709.717,230.933,20
49,713.966,646.722,20
49,1210.31,499.434,20
49,667.894,256.097,20
50,741.704,657.031,20
50,1245.29,513.835,20
50,645.655,203.4,20
51,771.005,666.072,20
51,1259.26,530.796,20
51,605.076,216.273,20
52,801.129,671.092,20
52,1228.48,553.211,20
52,558.242,251.506,20
53,831.528,674.771,20
53,1197.46,575.025,20
53,511.409,286.738,20
54,858.582,687.37,20
54,1166.1,595.937,20
54,534.914,327.776,20
55,883.387,705.967,20
55,1133.92,616.134,20
55,515.268,364.816,20
56,908.552,722.422,20
56,1101.39,636.015,20
56,543.691,385.907,20
57,938.127,712.694,20
57,1066.82,629.892,20
57,590.788,413.686,20
58,967.703,702.965,20
58,1031.55,614.651,20
58,624.082,456.997,20
59,990.139,685.929,20
59,1012.44,587.523,20
59,613.419,504.125,20
60,1000.45,656.485,20
60,1007.62,549.888,20
60,622.529,531.92,20
61,1010.77,627.041,20
61,1007.86,512.5,20
61,662.771,551.503,20
62,1030.5,622.427,20
62,1009.01,475.279,20
62,667.58,598.566,20
63,1057.6,637.236,20
63,1001.31,438.462,20
63,722.006,589.461,20
64,1085.08,647.582,20
64,998.397,401.437,20
64,738.233,643.361,20
65,1114.32,636.684,20
65,1001.12,364.166,20
65,782.927,676.015,20
66,1143.56,625.786,20
66,987.122,329.522,20
66,831.972,704.429,20
67,1162.17,608.237,20
67,969.386,298.318,20
67,879.859,707.234,20
68,1160.72,578.157,20
68,931.515,305.529,20
68,930.816,695.302,20
69,1152.62,549.757,20
69,893.644,312.74,20
69,983.123,708.607,20
70,1137.83,523.046,20
70,856.261,308.071,20
70,988.876,675.018,20
71,1119.16,499.736,20
71,819.064,298.852,20
71,949.5,643.1,20
72,1094.92,481.33,20
72,784.565,283.462,20
72,951.026,596.922,20
73,1068.37,468.415,20
73,751.763,264.192,20
73,988.662,594.871,20
74,1038.13,464.291,20
74,721.822,240.711,20
74,1033.06,586.012,20
75,1022.45,453.649,20
75,693.005,215.574,20
75,1038.03,548.151,20
76,1039.79,428.209,20
76,659.802,197.581,20
76,1009.02,506.6,20
77,1056.89,402.708,20
77,624.523,182.968,20
77,1006.41,456.821,20
78,1054.05,372.198,20
78,596.338,159.213,20
78,956.341,433.282,20
79,1051.21,341.688,20
79,570.559,132.623,20
79,899.764,439.011,20
80,1074.38,326.299,20
80,533.95,123.251,20
80,902.017,394.601,20
81,1102.36,313.709,20
81,516.974,107.311,20
81,938.417,358.008,20
82,1114.45,328.965,20
82,540.815,77.7157,20
82,981.777,326.06,20
83,1117.78,359.592,20
83,567.803,51.8671,20
83,1009.96,287.384,20
84,1130.07,379.305,20
84,598.587,30.536,20
84,1060.75,312.208,20
85,1160.26,377.223,20
85,621.566,54.8187,20
85,1114.4,295.629,20
86,1190.45,376.328,20
86,643.184,87.0561,20
86,1136.13,248.023,20
87,1220.63,377.122,20
87,661.883,119.53,20
87,1144.74,191.962,20
88,1250.15,374.975,20
88,645.119,154.875,20
88,1163.45,145.393,20
89,1279.06,370.157,20
89,628.354,190.22,20
89,1210.54,118.618,20
90,1287.08,341.306,20
90,611.589,225.565,20
90,1235.49,70.3548,20
91,1294.41,311.646,20
91,595.407,260.883,20
91,1228.98,19.4476,20
92,1321.71,304.558,20
92,580.528,296.139,20
92,1175.13,37.6517,20
93,1352.08,300.943,20
93,561.314,327.647,20
93,1119.21,34.3707,20
94,1358.39,277.452,20
94,528.923,347.764,20
94,1091.61,57.3914,20
95,1356.21,246.954,20
95,503.088,351.443,20
95,1091.74,113.918,20
96,1341.98,221.976,20
96,493.125,315.33,20
96,1078.97,169.305,20
97,1320.37,200.374,20
97,501.354,281.293,20
97,1026.19,179.226,20
98,1322.3,179.858,20
98,516.206,247.443,20
98,1044.62,223.764,20
99,1345.96,160.347,20
99,525.571,211.117,20
99,1012.43,232.083,20
100,1360.21,137.201,20
100,506.256,195.894,20
100,962.56,217.024,20
101,1355.33,106.672,20
101,468.547,194.204,20
101,958.697,160.297,20
102,1350.45,76.1437,20
102,454.761,225.904,20
102,910.937,163.63,20
103,1326.86,88.9654,20
103,448.745,261.677,20
103,858.224,183.89,20
104,1301.37,106.182,20
104,470.566,294.315,20
104,832.637,225.055,20
105,1277.47,125.454,20
105,492.387,326.954,20
105,831.36,281.221,20
106,1254.45,145.859,20
106,514.207,359.592,20
106,833.007,337.193,20
107,1229.99,164.24,20
107,536.028,392.231,20
107,836.957,374.348,20
108,1203.09,179.209,20
108,562.721,416.561,20
108,870.704,326.742,20
109,1178.21,195.551,20
109,600.656,421.722,20
109,904.451,279.137,20
110,1174.15,226.078,20
110,631.107,417.227,20
110,946.159,310.732,20
111,1170.09,256.605,20
111,635.995,379.75,20
111,988.737,350.988,20
112,1182.7,282.988,20
112,646.104,343.726,20
112,1031.35,391.133,20
113,1199.79,308.256,20
113,662.029,309.321,20
113,1074.97,427.833,20
114,1218.01,297.454,20
114,687.159,313.43,20
114,1121.77,459.001,20
115,1236.66,272.478,20
115,717.109,337.697,20
115,1171.73,483.884,20
116,1255.32,247.502,20
116,748.024,360.413,20
116,1203.38,524.31,20
117,1226.4,241.942,20
117,781.088,379.674,20
117,1199.67,574.875,20
118,1194.98,237.407,20
118,806.454,403.576,20
118,1166.17,596.328,20
119,1163.55,232.871,20
119,808.741,441.391,20
119,1128.67,553.424,20
120,1132.13,228.336,20
120,797.957,474.41,20
120,1092.34,509.983,20
121,1100.7,223.801,20
121,771.141,501.548,20
121,1119.34,472.388,20
122,1080.3,201.355,20
122,766.574,531.182,20
122,1165.23,436.54,20
123,1060.6,177.77,20
123,786.306,563.541,20
123,1216.42,412.45,20
124,1036.35,159.15,20
124,798.145,599.056,20
124,1253.68,424.858,20
125,1010.15,142.67,20
125,806.061,636.141,20
