time_seconds,src_node_id,dst_node_id,fragment_id,success,rssi_dbm
5.2,100,4294967295,0,false,0
5.2,101,4294967295,1,false,0
5.2,102,4294967295,2,false,0
5.6215,102,4294967295,5,false,0
5.75462,101,4294967295,4,false,0
5.78525,100,4294967295,3,false,0
5.90352,102,4294967295,8,false,0
5.94304,102,4294967295,2,false,0
6.13718,101,4294967295,7,false,0
6.1689,100,4294967295,6,false,0
6.33533,101,4294967295,1,false,0
6.36454,102,4294967295,5,false,0
6.44893,100,4294967295,9,false,0
6.48554,100,4294967295,0,false,0
6.64656,102,4294967295,8,false,0
6.68608,102,4294967295,2,false,0
6.88995,101,4294967295,4,false,0
7.07078,100,4294967295,3,false,0
7.10758,102,4294967295,5,false,0
7.27251,101,4294967295,7,false,0
7.3896,102,4294967295,8,false,0
7.42912,102,4294967295,2,false,0
7.45443,100,4294967295,6,false,0
7.47066,101,4294967295,1,false,0
7.73446,100,4294967295,9,false,0
7.77107,100,4294967295,0,false,0
7.85062,102,4294967295,5,false,0
8.02528,101,4294967295,4,false,0
8.13264,102,4294967295,8,false,0
8.17216,102,4294967295,2,false,0
8.35632,100,4294967295,3,false,0
8.40784,101,4294967295,7,false,0
8.59366,102,4294967295,5,false,0
8.60598,101,4294967295,1,false,0
8.73997,100,4294967295,6,false,0
8.87568,102,4294967295,8,false,0
8.9152,102,4294967295,2,false,0
9.02,100,4294967295,9,false,0
9.05661,100,4294967295,0,false,0
9.16061,101,4294967295,4,false,0
9.3367,102,4294967295,5,false,0
9.54317,101,4294967295,7,false,0
9.61872,102,4294967295,8,false,0
9.64186,100,4294967295,3,false,0
9.65824,102,4294967295,2,false,0
9.74131,101,4294967295,1,false,0
10.0255,100,4294967295,6,false,0
10.0797,102,4294967295,5,false,0
10.2959,101,4294967295,4,false,0
10.3055,100,4294967295,9,false,0
10.3421,100,4294967295,0,false,0
10.3618,102,4294967295,8,false,0
10.4013,102,4294967295,2,false,0
10.6785,101,4294967295,7,false,0
10.8228,102,4294967295,5,false,0
10.8766,101,4294967295,1,false,0
10.9274,100,4294967295,3,false,0
11.1048,102,4294967295,8,false,0
11.1443,102,4294967295,2,false,0
11.311,100,4294967295,6,false,0
11.4313,101,4294967295,4,false,0
11.5658,102,4294967295,5,false,0
11.5911,100,4294967295,9,false,0
11.6277,100,4294967295,0,false,0
11.8138,101,4294967295,7,false,0
11.8478,102,4294967295,8,false,0
11.8874,102,4294967295,2,false,0
12.012,101,4294967295,1,false,0
12.2129,100,4294967295,3,false,0
12.3089,102,4294967295,5,false,0
12.5666,101,4294967295,4,false,0
12.5909,102,4294967295,8,false,0
12.5966,100,4294967295,6,false,0
12.6304,102,4294967295,2,false,0
12.8766,100,4294967295,9,false,0
12.9132,100,4294967295,0,false,0
12.9492,101,4294967295,7,false,0
13.0519,102,4294967295,5,false,0
13.1473,101,4294967295,1,false,0
13.3339,102,4294967295,8,false,0
13.3734,102,4294967295,2,false,0
13.4985,100,4294967295,3,false,0
13.7019,101,4294967295,4,false,0
13.7949,102,4294967295,5,false,0
13.8821,100,4294967295,6,false,0
14.077,102,4294967295,8,false,0
14.0845,101,4294967295,7,false,0
14.1165,102,4294967295,2,false,0
14.1621,100,4294967295,9,false,0
14.1988,100,4294967295,0,false,0
14.2826,101,4294967295,1,false,0
14.538,102,4294967295,5,true,-88.9103
14.784,100,4294967295,3,false,0
14.82,102,4294967295,8,false,0
14.8372,101,4294967295,4,false,0
14.8595,102,4294967295,2,true,-93.433
15.1676,100,4294967295,6,false,0
15.2198,101,4294967295,7,false,0
15.281,102,4294967295,5,true,-92.1427
15.281,102,40,5,true,-88.9103
15.418,101,4294967295,1,false,0
15.4477,100,4294967295,9,false,0
15.4843,100,4294967295,0,false,0
15.563,102,4294967295,8,true,-86.2952
15.6026,102,4294967295,2,true,-94.2351
15.6026,102,60,2,true,-93.433
15.9726,101,4294967295,4,false,0
16.0241,102,4294967295,5,true,-84.1362
16.0241,102,30,5,true,-92.1427
16.0241,102,40,5,true,-86.8464
16.0241,102,50,5,true,-84.56
16.0241,102,60,5,true,-85.8011
16.0695,100,4294967295,3,false,0
16.3061,102,4294967295,8,true,-80.4964
16.3061,102,40,8,true,-86.2952
16.3061,102,50,8,true,-85.4217
16.3061,102,51,8,true,-89.2865
16.3061,102,60,8,true,-88.0591
16.3456,102,4294967295,2,true,-86.1743
16.3456,102,30,2,true,-94.2351
16.3456,102,50,2,true,-85.0529
16.3456,102,60,2,true,-88.1828
16.3551,101,4294967295,7,false,0
16.4532,100,4294967295,6,false,0
16.4602,40,30,8,false,0
16.5533,101,4294967295,1,false,0
16.7156,50,51,2,false,0
16.7156,50,51,5,false,0
16.7332,100,4294967295,9,false,0
16.7671,102,4294967295,5,true,-93.1828
16.7671,102,40,5,true,-84.1362
16.7671,102,50,5,true,-80.3611
16.7671,102,60,5,true,-92.6547
16.7671,102,61,5,true,-94.1075
16.7698,100,4294967295,0,false,0
17.0491,102,4294967295,8,true,-85.1983
17.0491,102,30,8,true,-80.4964
17.0491,102,40,8,true,-76.1675
17.0491,102,50,8,true,-81.2134
17.0491,102,61,8,true,-92.8038
17.0491,102,70,8,true,-83.2018
17.0886,102,4294967295,2,true,-87.5555
17.0886,102,30,2,true,-86.1743
17.0886,102,41,2,true,-90.6843
17.0886,102,50,2,true,-79.3742
17.0886,102,51,2,true,-86.6474
17.0886,102,60,2,true,-86.0909
17.0886,102,61,2,true,-85.8686
17.0886,102,70,2,true,-80.4708
17.1079,101,4294967295,4,false,0
17.3551,100,4294967295,3,false,0
17.4701,60,70,5,false,0
17.4905,101,4294967295,7,false,0
17.5101,102,4294967295,5,true,-90.9915
17.5101,102,30,5,true,-93.1828
17.5101,102,31,5,true,-87.6585
17.5101,102,40,5,true,-84.1776
17.5101,102,41,5,true,-88.2135
17.5101,102,50,5,true,-79.0177
17.5101,102,60,5,true,-93.2163
17.5101,102,61,5,true,-90.557
17.5222,40,41,8,false,0
17.5222,51,41,8,false,0
17.6886,101,4294967295,1,false,0
17.7387,100,4294967295,6,false,0
17.7922,102,4294967295,8,true,-77.0092
17.7922,102,30,8,true,-85.1983
17.7922,102,40,8,true,-79.3149
17.7922,102,41,8,true,-85.2469
17.7922,102,42,8,true,-91.989
17.7922,102,50,8,true,-80.0019
17.7922,102,52,8,true,-94.6537
17.7922,102,60,8,true,-82.6437
17.7922,102,70,8,true,-90.1959
17.8317,102,4294967295,2,true,-86.4772
17.8317,102,30,2,true,-87.5555
17.8317,102,40,2,true,-76.9332
17.8317,102,41,2,true,-87.2831
17.8317,102,42,2,true,-94.7821
17.8317,102,50,2,true,-76.9243
17.8317,102,51,2,true,-94.615
17.8317,102,61,2,true,-88.4759
17.8317,102,70,2,true,-94.8336
17.8317,102,71,2,true,-91.9614
18.0188,100,4294967295,9,false,0
18.0554,100,4294967295,0,false,0
18.2374,41,42,5,false,0
18.2432,101,4294967295,4,false,0
18.2532,102,4294967295,5,true,-89.7886
18.2532,102,30,5,true,-90.9915
18.2532,102,31,5,true,-87.0689
18.2532,102,40,5,true,-75.4229
18.2532,102,41,5,true,-82.2238
18.2532,102,42,5,true,-94.1944
18.2532,102,50,5,true,-73.8275
18.2532,102,51,5,true,-94.1481
18.2532,102,52,5,true,-89.2052
18.2532,102,60,5,true,-86.5866
18.2532,102,62,5,true,-94.0744
18.2532,102,70,5,true,-90.3956
18.2532,102,71,5,true,-87.8172
18.2536,61,71,8,false,0
18.5352,102,4294967295,8,true,-91.1593
18.5352,102,30,8,true,-77.0092
18.5352,102,31,8,true,-87.1151
18.5352,102,32,8,true,-86.6198
18.5352,102,40,8,true,-79.0897
18.5352,102,42,8,true,-92.1779
18.5352,102,50,8,true,-64.9253
18.5352,102,51,8,true,-82.5039
18.5352,102,52,8,true,-93.5673
18.5352,102,60,8,true,-87.102
18.5352,102,61,8,true,-93.8067
18.5747,102,4294967295,2,true,-91.3089
18.5747,102,30,2,true,-86.4772
18.5747,102,32,2,true,-90.1601
18.5747,102,40,2,true,-77.027
18.5747,102,41,2,true,-86.5138
18.5747,102,42,2,true,-80.6503
18.5747,102,50,2,true,-77.5209
18.5747,102,51,2,true,-74.8283
18.5747,102,52,2,true,-89.6062
18.5747,102,61,2,true,-85.0865
18.5747,102,62,2,true,-85.726
18.5747,102,70,2,true,-90.5426
18.5747,102,71,2,true,-92.8506
18.6258,101,4294967295,7,false,0
18.6406,100,4294967295,3,false,0
18.6741,61,62,8,false,0
18.8239,101,4294967295,1,false,0
18.9788,31,32,5,false,0
18.9788,42,32,5,false,0
18.9962,102,4294967295,5,true,-87.1344
18.9962,102,30,5,true,-89.7886
18.9962,102,31,5,true,-90.1047
18.9962,102,32,5,true,-91.035
18.9962,102,40,5,true,-82.5138
18.9962,102,41,5,true,-85.5004
18.9962,102,50,5,true,-77.1539
18.9962,102,51,5,true,-77.3056
18.9962,102,52,5,true,-91.9945
18.9962,102,60,5,true,-90.8035
18.9962,102,61,5,true,-93.5757
18.9962,102,62,5,true,-86.2976
18.9962,102,70,5,true,-86.68
18.9962,102,71,5,true,-88.7142
19.0243,100,4294967295,6,false,0
19.2782,102,4294967295,8,true,-87.7288
19.2782,102,30,8,true,-91.1593
19.2782,102,31,8,true,-86.6339
19.2782,102,32,8,true,-87.1813
19.2782,102,40,8,true,-75.1197
19.2782,102,41,8,true,-83.5621
19.2782,102,42,8,true,-94.0625
19.2782,102,43,8,true,-92.5855
19.2782,102,50,8,true,-76.1794
19.2782,102,51,8,true,-79.5741
19.2782,102,52,8,true,-93.3233
19.2782,102,53,8,true,-93.8755
19.2782,102,61,8,true,-77.8575
19.2782,102,62,8,true,-91.0145
19.2782,102,70,8,true,-92.9389
19.2782,102,71,8,true,-89.1567
19.3043,100,4294967295,9,false,0
19.3178,102,4294967295,2,true,-93.3464
19.3178,102,30,2,true,-91.3089
19.3178,102,31,2,true,-93.4609
19.3178,102,32,2,true,-85.9296
19.3178,102,40,2,true,-79.9117
19.3178,102,41,2,true,-84.0195
19.3178,102,43,2,true,-87.5412
19.3178,102,50,2,true,-76.9791
19.3178,102,51,2,true,-70.3585
19.3178,102,52,2,true,-88.9806
19.3178,102,53,2,true,-92.2245
19.3178,102,61,2,true,-83.7367
19.3178,102,70,2,true,-81.1706
19.3178,102,71,2,true,-89.7003
19.3178,102,72,2,true,-77.9135
19.3409,100,4294967295,0,false,0
19.3786,101,4294967295,4,false,0
19.7082,42,43,5,false,0
19.7221,52,53,5,false,0
19.7393,102,4294967295,5,true,-85.8695
19.7393,102,30,5,true,-87.1344
19.7393,102,31,5,true,-82.9873
19.7393,102,40,5,true,-78.9698
19.7393,102,41,5,true,-72.5945
19.7393,102,42,5,true,-84.981
19.7393,102,43,5,true,-89.5431
19.7393,102,50,5,true,-73.8603
19.7393,102,51,5,true,-70.1076
19.7393,102,52,5,true,-85.1577
19.7393,102,60,5,true,-91.9027
19.7393,102,62,5,true,-87.6669
19.7393,102,70,5,true,-82.4657
19.7611,101,4294967295,7,false,0
19.9261,100,4294967295,3,false,0
19.9593,101,4294967295,1,false,0
20.0213,102,4294967295,8,true,-92.2696
20.0213,102,30,8,true,-87.7288
20.0213,102,31,8,true,-88.061
20.0213,102,32,8,true,-88.5332
20.0213,102,33,8,true,-85.2703
20.0213,102,40,8,true,-83.0597
20.0213,102,41,8,true,-76.9124
20.0213,102,42,8,true,-89.7733
20.0213,102,43,8,true,-93.1416
20.0213,102,50,8,true,-77.499
20.0213,102,51,8,true,-75.2217
20.0213,102,52,8,true,-74.9668
20.0213,102,53,8,true,-92.1832
20.0213,102,60,8,true,-90.3213
20.0213,102,61,8,true,-72.8226
20.0213,102,62,8,true,-85.4029
20.0213,102,71,8,true,-91.7307
20.0608,102,4294967295,2,true,-94.4997
20.0608,102,30,2,true,-93.3464
20.0608,102,31,2,true,-89.7639
20.0608,102,33,2,true,-89.8232
20.0608,102,40,2,true,-80.7177
20.0608,102,41,2,true,-80.8957
20.0608,102,42,2,true,-89.6264
20.0608,102,43,2,true,-92.3251
20.0608,102,50,2,true,-87.533
20.0608,102,51,2,true,-75.3633
20.0608,102,52,2,true,-76.546
20.0608,102,53,2,true,-87.1006
20.0608,102,60,2,true,-84.6429
20.0608,102,61,2,true,-76.3801
20.0608,102,62,2,true,-89.8168
20.0608,102,70,2,true,-93.3335
20.0608,102,72,2,true,-79.9436
20.3098,100,4294967295,6,false,0
20.4401,32,33,5,false,0
20.4401,43,33,5,false,0
20.4823,102,4294967295,5,true,-89.615
20.4823,102,30,5,true,-85.8695
20.4823,102,31,5,true,-90.0294
20.4823,102,32,5,true,-90.5629
20.4823,102,40,5,true,-92.2626
20.4823,102,41,5,true,-75.0631
20.4823,102,42,5,true,-86.5006
20.4823,102,50,5,true,-74.9666
20.4823,102,51,5,true,-67.5102
20.4823,102,52,5,true,-86.4313
20.4823,102,53,5,true,-87.2526
20.4823,102,61,5,true,-82.6563
20.4823,102,62,5,true,-87.1298
20.4823,102,63,5,true,-88.5171
20.4823,102,70,5,true,-82.1341
20.4823,102,71,5,true,-88.5883
20.4823,102,72,5,true,-82.4168
20.5139,101,4294967295,4,false,0
20.5898,100,4294967295,9,false,0
20.6264,100,4294967295,0,false,0
20.7643,102,4294967295,8,true,-85.7162
20.7643,102,30,8,true,-92.2696
20.7643,102,40,8,true,-87.2229
20.7643,102,41,8,true,-87.4367
20.7643,102,42,8,true,-78.3118
20.7643,102,43,8,true,-84.859
20.7643,102,50,8,true,-89.8997
20.7643,102,51,8,true,-78.256
