time_seconds,x_meters,y_meters,z_meters
0,90,-200,20
0,90,-200,20
0,90,-200,20
1,90,-200,20
1,90,-200,20
1,90,-200,20
2,90,-200,20
2,90,-200,20
2,90,-200,20
3,90,-200,20
3,90,-200,20
3,90,-200,20
4,90,-200,20
4,90,-200,20
4,90,-200,20
5,90,-200,20
5,90,-200,20
5,90,-200,20
6,87.4095,-192.464,20
6,86.8042,-190.703,20
6,90.4213,-185.314,20
7,84.819,-184.928,20
7,83.6083,-181.406,20
7,90.8427,-170.627,20
8,82.2286,-177.392,20
8,80.4125,-172.109,20
8,91.264,-155.941,20
9,79.6381,-169.856,20
9,77.2166,-162.812,20
9,91.6853,-141.254,20
10,77.0476,-162.32,20
10,74.0208,-153.515,20
10,92.1067,-126.568,20
11,74.4571,-154.784,20
11,70.8249,-144.218,20
11,92.528,-111.882,20
12,71.8667,-147.248,20
12,67.6291,-134.921,20
12,92.9493,-97.1952,20
13,69.2762,-139.713,20
13,64.4332,-125.624,20
13,93.3707,-82.5088,20
14,66.6857,-132.177,20
14,61.2374,-116.327,20
14,93.792,-67.8224,20
15,64.0952,-124.641,20
15,58.0416,-107.03,20
15,94.2133,-53.136,20
16,61.5048,-117.105,20
16,54.8457,-97.733,20
16,94.6346,-38.4496,20
17,58.9143,-109.569,20
17,51.6499,-88.436,20
17,95.056,-23.7632,20
18,56.3238,-102.033,20
18,48.454,-79.139,20
18,95.4773,-9.07675,20
19,53.7333,-94.4969,20
19,45.2582,-69.842,20
19,95.8986,5.60965,20
20,51.1428,-86.961,20
20,42.0623,-60.545,20
20,96.32,20.2961,20
21,48.5524,-79.4251,20
21,38.8665,-51.248,20
21,108.597,24.6824,20
22,45.9619,-71.8891,20
22,35.6707,-41.951,20
22,122.245,27.8778,20
23,43.3714,-64.3532,20
23,32.4748,-32.654,20
23,135.892,31.0732,20
24,40.7809,-56.8173,20
24,29.279,-23.357,20
24,149.54,34.2687,20
25,38.1905,-49.2813,20
25,26.0831,-14.06,20
25,147.778,34.6551,20
26,35.6,-41.7454,20
26,22.8873,-4.76299,20
26,133.286,32.7209,20
27,33.0095,-34.2095,20
27,19.6914,4.53401,20
27,118.793,30.7868,20
28,30.419,-26.6735,20
28,17.1746,13.4165,20
28,104.301,28.8526,20
29,27.8285,-19.1376,20
29,26.6629,14.9697,20
29,89.8087,26.9184,20
30,25.2381,-11.6017,20
30,36.1512,16.523,20
30,75.3163,24.9842,20
31,22.6476,-4.06573,20
31,45.6395,18.0762,20
31,60.8238,23.05,20
32,20.0571,3.47021,20
32,55.1279,19.6295,20
32,46.3314,21.1158,20
33,17.4666,11.0061,20
33,64.6162,21.1827,20
33,31.839,19.1816,20
34,21.9826,14.2036,20
34,74.1045,22.736,20
34,17.3466,17.2474,20
35,29.6736,15.4626,20
35,83.5928,24.2892,20
35,9.85904,11.103,20
36,37.3646,16.7216,20
36,93.0811,25.8425,20
36,15.0947,-2.68859,20
37,45.0556,17.9806,20
37,102.551,27.3577,20
37,20.3305,-16.4802,20
38,52.7466,19.2397,20
38,111.802,28.4313,20
38,25.5662,-30.2718,20
