config_id,regime,m_policy,r_family,r_idx,r_params,f_family,f_idx,f_params,R_cluster_m,C_clusters,T_miss_mult,k_star,m_at_kstar,T_at_kstar,at_lower,at_upper,interior,rel_depth,interior_meaningful,quasiconvex,n_violations,max_violation_rel,quasiconvex_even_k,k_star_even_k,theta_at_kstar,passes_at_kstar,T1_at_kstar,T2_at_kstar,r_at_kstar,f_at_kstar,N_at_kstar,T1_share_at_kstar,schema_version,prov_id
13,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,0,"{""f0"": 0.5, ""f_floor"": 0.0, ""k_f"": 3.0}",125.0,64.0,3.0,3,3,3915.1660089755487,0,0,1,0.020888048574615372,1,1,0,0.0,1,2,34.29462295175867,1.3717849180703467,2027.209959207869,365.9099174913105,0.6257993532402721,0.18393972058572117,12.214001750140705,0.5177839086670845,1,1d478b3dd653a6b1
14,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,0,"{""f0"": 0.5, ""f_floor"": 0.0, ""k_f"": 3.0}",125.0,64.0,10.0,5,5,6903.3737589688935,0,0,1,0.3556182553538192,1,1,0,0.0,1,6,64.27081834353626,2.5708327337414505,3799.150765288558,240.55792481099695,0.8030131531908138,0.09443780141878091,6.752594642574011,0.5503324748066385,1,1d478b3dd653a6b1
15,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,0,"{""f0"": 0.5, ""f_floor"": 0.0, ""k_f"": 3.0}",125.0,64.0,30.0,8,8,10324.268513750805,0,0,1,1.39015539381183,1,1,0,0.0,1,8,113.33211922164725,4.53328476886589,6699.242651171213,143.32768495211053,0.9212113832894265,0.03474172561140077,3.109940096807675,0.6488830314950206,1,1d478b3dd653a6b1
16,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,0,"{""f0"": 0.5, ""f_floor"": 0.0, ""k_f"": 3.0}",150.0,44.4444,1.0,2,2,2413.868110984616,1,0,0,0.0,0,1,0,0.0,1,2,20.613381509127453,0.8245352603650982,1477.7899454234348,353.246445383758,0.4817170521577339,0.256708559516296,11.634277804476815,0.6122082390079898,1,1d478b3dd653a6b1
17,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,0,"{""f0"": 0.5, ""f_floor"": 0.0, ""k_f"": 3.0}",150.0,44.4444,3.0,3,3,3864.6109007227797,0,0,1,0.020981120934609552,1,1,0,0.0,1,2,34.29462295175867,1.3717849180703467,2027.209959207869,285.1250653002617,0.6257993532402721,0.18393972058572117,8.616958325353268,0.5245573257656365,1,1d478b3dd653a6b1
18,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,0,"{""f0"": 0.5, ""f_floor"": 0.0, ""k_f"": 3.0}",150.0,44.4444,10.0,5,5,6865.620049649792,0,0,1,0.3556077974793893,1,1,0,0.0,1,6,64.27081834353626,2.5708327337414505,3799.150765288558,193.54286762409475,0.8030131531908138,0.09443780141878091,4.905810970384517,0.5533587262059962,1,1d478b3dd653a6b1
19,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,0,"{""f0"": 0.5, ""f_floor"": 0.0, ""k_f"": 3.0}",150.0,44.4444,30.0,8,8,10304.985403626635,0,0,1,1.3896544918233529,1,1,0,0.0,1,8,113.33211922164725,4.53328476886589,6699.242651171213,122.39534469453008,0.9212113832894265,0.03474172561140077,2.43054635151806,0.6500972479605402,1,1d478b3dd653a6b1
20,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,1,"{""f0"": 0.5, ""f_floor"": 0.01, ""k_f"": 8.0}",50.0,400.0,1.0,2,2,3604.7701545320297,1,0,0,0.0,0,1,0,0.0,1,2,20.613381509127453,0.8245352603650982,1477.7899454234348,2825.448826871103,0.4817170521577339,0.38940039153570244,155.85247327490302,0.40995400041401003,1,1d478b3dd653a6b1
21,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,1,"{""f0"": 0.5, ""f_floor"": 0.01, ""k_f"": 8.0}",50.0,400.0,3.0,2,2,5136.596812943468,1,0,0,0.0,0,1,0,0.0,1,2,20.613381509127453,0.8245352603650982,1477.7899454234348,2825.448826871103,0.4817170521577339,0.38940039153570244,155.85247327490302,0.28769825610988614,1,1d478b3dd653a6b1
22,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,1,"{""f0"": 0.5, ""f_floor"": 0.01, ""k_f"": 8.0}",50.0,400.0,10.0,5,5,8357.333259229254,0,0,1,0.25614113877656597,1,1,0,0.0,1,6,64.27081834353626,2.5708327337414505,3799.150765288558,2051.187669147037,0.8030131531908138,0.26763071425949514,107.58766814272938,0.4545888799029334,1,1d478b3dd653a6b1
23,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,1,"{""f0"": 0.5, ""f_floor"": 0.01, ""k_f"": 8.0}",50.0,400.0,30.0,8,8,11574.416440851346,0,0,1,1.2304586009520666,1,1,0,0.0,1,8,113.33211922164725,4.53328476886589,6699.242651171213,1500.3972455089502,0.9212113832894265,0.18393972058572117,74.31315989699218,0.5787974439494469,1,1d478b3dd653a6b1
24,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,1,"{""f0"": 0.5, ""f_floor"": 0.01, ""k_f"": 8.0}",75.0,177.7778,1.0,2,2,2925.7697713766465,1,0,0,0.0,0,1,0,0.0,1,2,20.613381509127453,0.8245352603650982,1477.7899454234348,1415.9068974044862,0.4817170521577339,0.38940039153570244,69.3190529336358,0.5050944062246218,1,1d478b3dd653a6b1
25,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,1,"{""f0"": 0.5, ""f_floor"": 0.01, ""k_f"": 8.0}",75.0,177.7778,3.0,2,2,4457.5964297880855,1,0,0,0.0,0,1,0,0.0,1,2,20.613381509127453,0.8245352603650982,1477.7899454234348,1415.9068974044862,0.4817170521577339,0.38940039153570244,69.3190529336358,0.33152169979947893,1,1d478b3dd653a6b1
26,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,1,"{""f0"": 0.5, ""f_floor"": 0.01, ""k_f"": 8.0}",75.0,177.7778,10.0,5,5,7552.752370541468,0,0,1,0.30005450364370734,1,1,0,0.0,1,6,64.27081834353626,2.5708327337414505,3799.150765288558,1049.2353530601313,0.8030131531908138,0.26763071425949514,48.11417608506378,0.5030154013928291,1,1d478b3dd653a6b1
27,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,1,"{""f0"": 0.5, ""f_floor"": 0.01, ""k_f"": 8.0}",75.0,177.7778,30.0,8,8,10914.8421662163,0,0,1,1.303034339438048,1,1,0,0.0,1,8,113.33211922164725,4.53328476886589,6699.242651171213,784.4114396455188,0.9212113832894265,0.18393972058572117,33.43766643349858,0.6137736624269985,1,1d478b3dd653a6b1
28,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,1,"{""f0"": 0.5, ""f_floor"": 0.01, ""k_f"": 8.0}",100.0,100.0,1.0,2,2,2670.894045061354,1,0,0,0.0,0,1,0,0.0,1,2,20.613381509127453,0.8245352603650982,1477.7899454234348,886.8084875108805,0.4817170521577339,0.38940039153570244,39.03235581419228,0.5532941106952403,1,1d478b3dd653a6b1
29,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,1,"{""f0"": 0.5, ""f_floor"": 0.01, ""k_f"": 8.0}",100.0,100.0,3.0,3,3,4191.022837447427,0,0,1,0.0027911721026292473,0,1,0,0.0,1,2,34.29462295175867,1.3717849180703467,2027.209959207869,806.7170660502577,0.6257993532402721,0.3436446393954861,34.6466186533934,0.4837029140224289,1,1d478b3dd653a6b1
30,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,1,"{""f0"": 0.5, ""f_floor"": 0.01, ""k_f"": 8.0}",100.0,100.0,10.0,5,5,7247.679938389418,0,0,1,0.3196104255727068,1,1,0,0.0,1,6,64.27081834353626,2.5708327337414505,3799.150765288558,669.3257202728854,0.8030131531908138,0.26763071425949514,27.298453864880834,0.5241885399995749,1,1d478b3dd653a6b1
31,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,1,"{""f0"": 0.5, ""f_floor"": 0.01, ""k_f"": 8.0}",100.0,100.0,30.0,8,8,10662.025062941859,0,0,1,1.3337387077161575,1,1,0,0.0,1,8,113.33211922164725,4.53328476886589,6699.242651171213,509.9716011236684,0.9212113832894265,0.18393972058572117,19.131243721275823,0.628327415441543,1,1d478b3dd653a6b1
32,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,1,"{""f0"": 0.5, ""f_floor"": 0.01, ""k_f"": 8.0}",125.0,64.0,1.0,2,2,2545.060656334643,1,0,0,0.0,0,1,0,0.0,1,2,20.613381509127453,0.8245352603650982,1477.7899454234348,625.5900229307476,0.4817170521577339,0.38940039153570244,25.013941718906988,0.5806501867628274,1,1d478b3dd653a6b1
33,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,1,"{""f0"": 0.5, ""f_floor"": 0.01, ""k_f"": 8.0}",125.0,64.0,3.0,3,3,4044.3645303741396,0,0,1,0.008041506676188146,0,1,0,0.0,1,2,34.29462295175867,1.3717849180703467,2027.209959207869,572.3635047787127,0.6257993532402721,0.3436446393954861,22.275411635155898,0.5012431357220745,1,1d478b3dd653a6b1
34,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,1,"{""f0"": 0.5, ""f_floor"": 0.01, ""k_f"": 8.0}",125.0,64.0,10.0,5,5,7095.883950681975,0,0,1,0.3301063947471997,1,1,0,0.0,1,6,64.27081834353626,2.5708327337414505,3799.150765288558,480.2927173833639,0.8030131531908138,0.26763071425949514,17.663748151539007,0.5354020431694669,1,1d478b3dd653a6b1
35,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,1,"{""f0"": 0.5, ""f_floor"": 0.01, ""k_f"": 8.0}",125.0,64.0,30.0,8,8,10535.217821864446,0,0,1,1.3498847030881107,1,1,0,0.0,1,8,113.33211922164725,4.53328476886589,6699.242651171213,372.3188936369079,0.9212113832894265,0.18393972058572117,12.50941378018986,0.6358902838504036,1,1d478b3dd653a6b1
36,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,1,"{""f0"": 0.5, ""f_floor"": 0.01, ""k_f"": 8.0}",150.0,44.4444,1.0,2,2,2472.4685432663096,1,0,0,0.0,0,1,0,0.0,1,2,20.613381509127453,0.8245352603650982,1477.7899454234348,474.89551721795453,0.4817170521577339,0.38940039153570244,17.39900072887547,0.5976981787890282,1,1d478b3dd653a6b1
37,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,1,"{""f0"": 0.5, ""f_floor"": 0.01, ""k_f"": 8.0}",150.0,44.4444,3.0,3,3,3959.5948388129646,0,0,1,0.0112891254495584,1,1,0,0.0,1,2,34.29462295175867,1.3717849180703467,2027.209959207869,436.9052446794446,0.6257993532402721,0.3436446393954861,15.555249798088612,0.5119740886963072,1,1d478b3dd653a6b1
38,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,1,"{""f0"": 0.5, ""f_floor"": 0.01, ""k_f"": 8.0}",150.0,44.4444,10.0,5,5,7007.79972588718,0,0,1,0.336466347849588,1,1,0,0.0,1,6,64.27081834353626,2.5708327337414505,3799.150765288558,370.6005853867862,0.8030131531908138,0.26763071425949514,12.430080850464435,0.5421317551719259,1,1d478b3dd653a6b1
39,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,1,"{""f0"": 0.5, ""f_floor"": 0.01, ""k_f"": 8.0}",150.0,44.4444,30.0,8,8,10461.21480047245,0,0,1,1.359568707939865,1,1,0,0.0,1,8,113.33211922164725,4.53328476886589,6699.242651171213,291.9866021190267,0.9212113832894265,0.18393972058572117,8.912370355402423,0.640388595296663,1,1d478b3dd653a6b1
40,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,2,"{""f0"": 0.3, ""f_floor"": 0.0, ""k_f"": 14.0}",50.0,400.0,1.0,2,2,3205.5331659361063,1,0,0,0.0,0,1,0,0.0,1,2,20.613381509127453,0.8245352603650982,1477.7899454234348,1996.6698023220686,0.4817170521577339,0.26006336992505447,104.24700165225447,0.46101221510583823,1,1d478b3dd653a6b1
41,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,2,"{""f0"": 0.3, ""f_floor"": 0.0, ""k_f"": 14.0}",50.0,400.0,3.0,2,2,4737.359824347544,1,0,0,0.0,0,1,0,0.0,1,2,20.613381509127453,0.8245352603650982,1477.7899454234348,1996.6698023220686,0.4817170521577339,0.26006336992505447,104.24700165225447,0.3119437830811098,1,1d478b3dd653a6b1
42,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,2,"{""f0"": 0.3, ""f_floor"": 0.0, ""k_f"": 14.0}",50.0,400.0,10.0,5,5,8052.804786176714,0,0,1,0.254066551584971,1,1,0,0.0,1,4,64.27081834353626,2.5708327337414505,3799.150765288558,1671.9554338561434,0.8030131531908138,0.2099017612125391,84.55381587699391,0.47177981661868984,1,1d478b3dd653a6b1
43,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,2,"{""f0"": 0.3, ""f_floor"": 0.0, ""k_f"": 14.0}",50.0,400.0,30.0,8,8,11484.046408273836,0,0,1,1.213245994424921,1,1,0,0.0,1,8,113.33211922164725,4.53328476886589,6699.242651171213,1402.2981184065243,0.9212113832894265,0.16941543660232777,68.51797058761821,0.583352105434253,1,1d478b3dd653a6b1
44,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,2,"{""f0"": 0.3, ""f_floor"": 0.0, ""k_f"": 14.0}",75.0,177.7778,1.0,2,2,2734.98833963906,1,0,0,0.0,0,1,0,0.0,1,2,20.613381509127453,0.8245352603650982,1477.7899454234348,1019.8623088165854,0.4817170521577339,0.26006336992505447,46.45514166890903,0.5403276950052593,1,1d478b3dd653a6b1
45,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,2,"{""f0"": 0.3, ""f_floor"": 0.0, ""k_f"": 14.0}",75.0,177.7778,3.0,2,2,4266.814998050499,1,0,0,0.0,0,1,0,0.0,1,2,20.613381509127453,0.8245352603650982,1477.7899454234348,1019.8623088165854,0.4817170521577339,0.26006336992505447,46.45514166890903,0.3463449777172516,1,1d478b3dd653a6b1
46,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,2,"{""f0"": 0.3, ""f_floor"": 0.0, ""k_f"": 14.0}",75.0,177.7778,10.0,5,5,7405.940976812781,0,0,1,0.30006549237098146,1,1,0,0.0,1,4,64.27081834353626,2.5708327337414505,3799.150765288558,866.4097129752527,0.8030131531908138,0.2099017612125391,37.90898005198522,0.5129869083730613,1,1d478b3dd653a6b1
