series,k,m,theta_ops,theta_over_k,theta_over_k_lnk,schema_version,prov_id
m-of-k fixed m=2,29,2,13.5390,0.4669,0.1386,1,1d478b3dd653a6b1
m-of-k fixed m=2,30,2,13.5307,0.4510,0.1326,1,1d478b3dd653a6b1
m-of-k fixed m=2,31,2,13.5230,0.4362,0.1270,1,1d478b3dd653a6b1
m-of-k fixed m=2,32,2,13.5158,0.4224,0.1219,1,1d478b3dd653a6b1
m-of-k fixed m=2,33,2,13.5090,0.4094,0.1171,1,1d478b3dd653a6b1
m-of-k fixed m=2,34,2,13.5026,0.3971,0.1126,1,1d478b3dd653a6b1
m-of-k fixed m=2,35,2,13.4967,0.3856,0.1085,1,1d478b3dd653a6b1
m-of-k fixed m=2,36,2,13.4910,0.3748,0.1046,1,1d478b3dd653a6b1
m-of-k fixed m=2,37,2,13.4857,0.3645,0.1009,1,1d478b3dd653a6b1
m-of-k fixed m=2,38,2,13.4807,0.3548,0.0975,1,1d478b3dd653a6b1
m-of-k fixed m=2,39,2,13.4759,0.3455,0.0943,1,1d478b3dd653a6b1
m-of-k fixed m=2,40,2,13.4714,0.3368,0.0913,1,1d478b3dd653a6b1
m-of-k fixed m=3,3,3,34.2946,11.4315,10.4054,1,1d478b3dd653a6b1
m-of-k fixed m=3,4,3,26.0939,6.5235,4.7057,1,1d478b3dd653a6b1
m-of-k fixed m=3,5,3,23.3358,4.6672,2.8999,1,1d478b3dd653a6b1
m-of-k fixed m=3,6,3,21.9425,3.6571,2.0411,1,1d478b3dd653a6b1
m-of-k fixed m=3,7,3,21.0997,3.0142,1.5490,1,1d478b3dd653a6b1
m-of-k fixed m=3,8,3,20.5344,2.5668,1.2344,1,1d478b3dd653a6b1
m-of-k fixed m=3,9,3,20.1287,2.2365,1.0179,1,1d478b3dd653a6b1
m-of-k fixed m=3,10,3,19.8233,1.9823,0.8609,1,1d478b3dd653a6b1
m-of-k fixed m=3,11,3,19.5850,1.7805,0.7425,1,1d478b3dd653a6b1
m-of-k fixed m=3,12,3,19.3938,1.6162,0.6504,1,1d478b3dd653a6b1
m-of-k fixed m=3,13,3,19.2371,1.4798,0.5769,1,1d478b3dd653a6b1
m-of-k fixed m=3,14,3,19.1063,1.3647,0.5171,1,1d478b3dd653a6b1
m-of-k fixed m=3,15,3,18.9954,1.2664,0.4676,1,1d478b3dd653a6b1
m-of-k fixed m=3,16,3,18.9003,1.1813,0.4261,1,1d478b3dd653a6b1
m-of-k fixed m=3,17,3,18.8177,1.1069,0.3907,1,1d478b3dd653a6b1
m-of-k fixed m=3,18,3,18.7454,1.0414,0.3603,1,1d478b3dd653a6b1
m-of-k fixed m=3,19,3,18.6815,0.9832,0.3339,1,1d478b3dd653a6b1
m-of-k fixed m=3,20,3,18.6247,0.9312,0.3109,1,1d478b3dd653a6b1
m-of-k fixed m=3,21,3,18.5738,0.8845,0.2905,1,1d478b3dd653a6b1
m-of-k fixed m=3,22,3,18.5280,0.8422,0.2725,1,1d478b3dd653a6b1
m-of-k fixed m=3,23,3,18.4865,0.8038,0.2563,1,1d478b3dd653a6b1
m-of-k fixed m=3,24,3,18.4487,0.7687,0.2419,1,1d478b3dd653a6b1
m-of-k fixed m=3,25,3,18.4143,0.7366,0.2288,1,1d478b3dd653a6b1
m-of-k fixed m=3,26,3,18.3826,0.7070,0.2170,1,1d478b3dd653a6b1
m-of-k fixed m=3,27,3,18.3535,0.6798,0.2062,1,1d478b3dd653a6b1
m-of-k fixed m=3,28,3,18.3267,0.6545,0.1964,1,1d478b3dd653a6b1
m-of-k fixed m=3,29,3,18.3018,0.6311,0.1874,1,1d478b3dd653a6b1
m-of-k fixed m=3,30,3,18.2787,0.6093,0.1791,1,1d478b3dd653a6b1
m-of-k fixed m=3,31,3,18.2571,0.5889,0.1715,1,1d478b3dd653a6b1
m-of-k fixed m=3,32,3,18.2370,0.5699,0.1644,1,1d478b3dd653a6b1
m-of-k fixed m=3,33,3,18.2182,0.5521,0.1579,1,1d478b3dd653a6b1
m-of-k fixed m=3,34,3,18.2006,0.5353,0.1518,1,1d478b3dd653a6b1
m-of-k fixed m=3,35,3,18.1840,0.5195,0.1461,1,1d478b3dd653a6b1
