run_id,mode,R_m,spacing_m,k,trickle,r_tx_m,r_bc_m,seed,n_nodes,n_seeded,n_complete,frac_complete,censored,T_spread_s,t50_s,t90_s,t95_s,t99_s,pkt_adv,pkt_frag,pkt_total,send_fail,bytes_total,rx_adv,rx_frag,mac_tx,mac_tx_ok,mac_tx_drop,mac_rx_drop,phy_rx_drop,phy_tx_drop,traces_connected,adv_interval_s,suppress_window_s,stop_time_s,tx_power_dBm
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1001,spread,60,20,4,1,50,50,1001,23,20,23,1,0,1.5613,0.236163,0.238179,1.5613,1.5613,27,36,63,0,3105,333,291,57,57,6,0,630,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1004,spread,60,20,4,1,50,50,1004,23,21,23,1,0,1.42598,0.068441,0.230414,0.230414,1.42598,16,27,43,0,2265,226,314,40,40,3,0,340,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1007,spread,60,20,4,1,50,50,1007,23,20,23,1,0,1.49665,0.167622,1.15175,1.29137,1.49665,31,45,76,0,3840,435,374,70,68,1,0,717,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1010,spread,60,20,4,1,50,50,1010,23,23,23,1,0,1.21853,0.245766,0.25687,0.531787,1.21853,22,32,54,0,2730,331,259,51,51,3,0,532,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1013,spread,60,20,4,1,50,50,1013,23,20,23,1,0,1.04914,0.220846,0.285688,1.04914,1.04914,25,32,57,0,2775,346,192,53,53,4,0,628,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1016,spread,60,20,4,1,50,50,1016,23,23,23,1,0,1.53048,0.0508411,0.235065,0.235065,1.53048,21,28,49,0,2415,302,305,43,43,6,0,339,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1019,spread,60,20,4,1,50,50,1019,23,21,23,1,0,1.20833,0.083638,0.26978,0.461943,1.20833,21,24,45,0,2115,274,248,43,43,2,0,424,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1022,spread,60,20,4,1,50,50,1022,23,20,23,1,0,1.07703,0.161858,1.07703,1.07703,1.07703,23,25,48,0,2220,338,272,45,45,3,0,380,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1025,spread,60,20,4,1,50,50,1025,23,21,23,1,0,1.7519,0.216952,1.49078,1.49078,1.7519,43,48,91,0,4245,603,411,86,86,5,0,878,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1028,spread,60,20,4,1,50,50,1028,23,20,23,1,0,1.79855,0.0434805,1.4889,1.4889,1.79855,31,38,69,0,3315,412,345,67,67,2,0,717,0,6,0.5,1,900,-8
