run_id,t_s,frac_complete
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1001,0,0.0434783
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1001,0.25,0.913043
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1001,1.75,1
main~main|R60|sp20|k8|tr1|ai0.5|spread|s1001,0,0
main~main|R60|sp20|k8|tr1|ai0.5|spread|s1001,0.25,0.608696
main~main|R60|sp20|k8|tr1|ai0.5|spread|s1001,0.5,0.826087
main~main|R60|sp20|k8|tr1|ai0.5|spread|s1001,1.5,0.956522
main~main|R60|sp20|k8|tr1|ai0.5|spread|s1001,2.75,1
main~main|R60|sp20|k16|tr1|ai0.5|spread|s1001,0,0
main~main|R60|sp20|k16|tr1|ai0.5|spread|s1001,0.5,0.0869565
main~main|R60|sp20|k16|tr1|ai0.5|spread|s1001,0.75,0.26087
main~main|R60|sp20|k16|tr1|ai0.5|spread|s1001,1.25,0.478261
main~main|R60|sp20|k16|tr1|ai0.5|spread|s1001,1.5,0.73913
main~main|R60|sp20|k16|tr1|ai0.5|spread|s1001,1.75,0.782609
main~main|R60|sp20|k16|tr1|ai0.5|spread|s1001,2,0.913043
main~main|R60|sp20|k16|tr1|ai0.5|spread|s1001,2.25,1
main~main|R94|sp20|k4|tr1|ai0.5|spread|s1001,0,0.0491803
main~main|R94|sp20|k4|tr1|ai0.5|spread|s1001,0.25,0.622951
main~main|R94|sp20|k4|tr1|ai0.5|spread|s1001,0.5,0.754098
main~main|R94|sp20|k4|tr1|ai0.5|spread|s1001,0.75,0.803279
main~main|R94|sp20|k4|tr1|ai0.5|spread|s1001,1.25,0.95082
main~main|R94|sp20|k4|tr1|ai0.5|spread|s1001,1.5,0.983607
main~main|R94|sp20|k4|tr1|ai0.5|spread|s1001,1.75,1
main~main|R94|sp20|k8|tr1|ai0.5|spread|s1001,0,0
main~main|R94|sp20|k8|tr1|ai0.5|spread|s1001,0.25,0.295082
main~main|R94|sp20|k8|tr1|ai0.5|spread|s1001,0.5,0.688525
main~main|R94|sp20|k8|tr1|ai0.5|spread|s1001,1.25,0.819672
main~main|R94|sp20|k8|tr1|ai0.5|spread|s1001,1.5,0.901639
main~main|R94|sp20|k8|tr1|ai0.5|spread|s1001,1.75,0.983607
main~main|R94|sp20|k8|tr1|ai0.5|spread|s1001,2.75,1
main~main|R94|sp20|k16|tr1|ai0.5|spread|s1001,0,0
main~main|R94|sp20|k16|tr1|ai0.5|spread|s1001,0.5,0.262295
main~main|R94|sp20|k16|tr1|ai0.5|spread|s1001,0.75,0.360656
main~main|R94|sp20|k16|tr1|ai0.5|spread|s1001,1,0.540984
main~main|R94|sp20|k16|tr1|ai0.5|spread|s1001,1.25,0.639344
main~main|R94|sp20|k16|tr1|ai0.5|spread|s1001,1.5,0.770492
main~main|R94|sp20|k16|tr1|ai0.5|spread|s1001,1.75,0.901639
main~main|R94|sp20|k16|tr1|ai0.5|spread|s1001,2,0.934426
main~main|R94|sp20|k16|tr1|ai0.5|spread|s1001,2.25,0.95082
main~main|R94|sp20|k16|tr1|ai0.5|spread|s1001,2.5,0.967213
main~main|R94|sp20|k16|tr1|ai0.5|spread|s1001,2.75,1
main~main|R120|sp20|k4|tr1|ai0.5|spread|s1001,0,0.030303
main~main|R120|sp20|k4|tr1|ai0.5|spread|s1001,0.25,0.535354
main~main|R120|sp20|k4|tr1|ai0.5|spread|s1001,0.5,0.646465
main~main|R120|sp20|k4|tr1|ai0.5|spread|s1001,1.25,0.858586
main~main|R120|sp20|k4|tr1|ai0.5|spread|s1001,1.5,0.939394
main~main|R120|sp20|k4|tr1|ai0.5|spread|s1001,1.75,0.949495
main~main|R120|sp20|k4|tr1|ai0.5|spread|s1001,2,0.959596
main~main|R120|sp20|k4|tr1|ai0.5|spread|s1001,2.25,0.989899
main~main|R120|sp20|k4|tr1|ai0.5|spread|s1001,2.5,1
main~main|R120|sp20|k8|tr1|ai0.5|spread|s1001,0,0
main~main|R120|sp20|k8|tr1|ai0.5|spread|s1001,0.25,0.434343
main~main|R120|sp20|k8|tr1|ai0.5|spread|s1001,0.5,0.484848
main~main|R120|sp20|k8|tr1|ai0.5|spread|s1001,0.75,0.515152
main~main|R120|sp20|k8|tr1|ai0.5|spread|s1001,1.25,0.727273
main~main|R120|sp20|k8|tr1|ai0.5|spread|s1001,1.5,0.868687
main~main|R120|sp20|k8|tr1|ai0.5|spread|s1001,1.75,0.909091
main~main|R120|sp20|k8|tr1|ai0.5|spread|s1001,2,0.929293
main~main|R120|sp20|k8|tr1|ai0.5|spread|s1001,2.25,0.959596
main~main|R120|sp20|k8|tr1|ai0.5|spread|s1001,3,1
main~main|R120|sp20|k16|tr1|ai0.5|spread|s1001,0,0
main~main|R120|sp20|k16|tr1|ai0.5|spread|s1001,0.25,0.030303
main~main|R120|sp20|k16|tr1|ai0.5|spread|s1001,0.5,0.323232
main~main|R120|sp20|k16|tr1|ai0.5|spread|s1001,0.75,0.414141
main~main|R120|sp20|k16|tr1|ai0.5|spread|s1001,1.25,0.434343
main~main|R120|sp20|k16|tr1|ai0.5|spread|s1001,1.5,0.585859
main~main|R120|sp20|k16|tr1|ai0.5|spread|s1001,1.75,0.686869
main~main|R120|sp20|k16|tr1|ai0.5|spread|s1001,2,0.727273
main~main|R120|sp20|k16|tr1|ai0.5|spread|s1001,2.25,0.787879
main~main|R120|sp20|k16|tr1|ai0.5|spread|s1001,2.5,0.838384
main~main|R120|sp20|k16|tr1|ai0.5|spread|s1001,2.75,0.929293
main~main|R120|sp20|k16|tr1|ai0.5|spread|s1001,3,0.959596
main~main|R120|sp20|k16|tr1|ai0.5|spread|s1001,3.5,0.969697
main~main|R120|sp20|k16|tr1|ai0.5|spread|s1001,4,0.989899
main~main|R120|sp20|k16|tr1|ai0.5|spread|s1001,4.25,1
main~main|R150|sp20|k4|tr1|ai0.5|spread|s1001,0,0.0204082
main~main|R150|sp20|k4|tr1|ai0.5|spread|s1001,0.25,0.408163
main~main|R150|sp20|k4|tr1|ai0.5|spread|s1001,0.5,0.469388
main~main|R150|sp20|k4|tr1|ai0.5|spread|s1001,1.25,0.70068
main~main|R150|sp20|k4|tr1|ai0.5|spread|s1001,1.5,0.863946
main~main|R150|sp20|k4|tr1|ai0.5|spread|s1001,1.75,0.870748
main~main|R150|sp20|k4|tr1|ai0.5|spread|s1001,2.25,0.911565
main~main|R150|sp20|k4|tr1|ai0.5|spread|s1001,2.5,0.965986
main~main|R150|sp20|k4|tr1|ai0.5|spread|s1001,2.75,1
main~main|R150|sp20|k8|tr1|ai0.5|spread|s1001,0,0
main~main|R150|sp20|k8|tr1|ai0.5|spread|s1001,0.25,0.360544
main~main|R150|sp20|k8|tr1|ai0.5|spread|s1001,0.5,0.47619
main~main|R150|sp20|k8|tr1|ai0.5|spread|s1001,0.75,0.482993
main~main|R150|sp20|k8|tr1|ai0.5|spread|s1001,1.25,0.605442
main~main|R150|sp20|k8|tr1|ai0.5|spread|s1001,1.5,0.707483
main~main|R150|sp20|k8|tr1|ai0.5|spread|s1001,1.75,0.823129
main~main|R150|sp20|k8|tr1|ai0.5|spread|s1001,2,0.85034
main~main|R150|sp20|k8|tr1|ai0.5|spread|s1001,2.25,0.857143
main~main|R150|sp20|k8|tr1|ai0.5|spread|s1001,2.5,0.877551
main~main|R150|sp20|k8|tr1|ai0.5|spread|s1001,2.75,0.931973
main~main|R150|sp20|k8|tr1|ai0.5|spread|s1001,3,0.979592
main~main|R150|sp20|k8|tr1|ai0.5|spread|s1001,3.75,0.993197
main~main|R150|sp20|k8|tr1|ai0.5|spread|s1001,4.25,1
main~main|R150|sp20|k16|tr1|ai0.5|spread|s1001,0,0
main~main|R150|sp20|k16|tr1|ai0.5|spread|s1001,0.25,0.0204082
main~main|R150|sp20|k16|tr1|ai0.5|spread|s1001,0.5,0.217687
main~main|R150|sp20|k16|tr1|ai0.5|spread|s1001,0.75,0.346939
main~main|R150|sp20|k16|tr1|ai0.5|spread|s1001,1,0.367347
main~main|R150|sp20|k16|tr1|ai0.5|spread|s1001,1.25,0.414966
main~main|R150|sp20|k16|tr1|ai0.5|spread|s1001,1.5,0.517007
main~main|R150|sp20|k16|tr1|ai0.5|spread|s1001,1.75,0.605442
main~main|R150|sp20|k16|tr1|ai0.5|spread|s1001,2,0.721088
main~main|R150|sp20|k16|tr1|ai0.5|spread|s1001,2.25,0.761905
main~main|R150|sp20|k16|tr1|ai0.5|spread|s1001,2.5,0.789116
main~main|R150|sp20|k16|tr1|ai0.5|spread|s1001,2.75,0.870748
main~main|R150|sp20|k16|tr1|ai0.5|spread|s1001,3,0.911565
main~main|R150|sp20|k16|tr1|ai0.5|spread|s1001,3.25,0.952381
main~main|R150|sp20|k16|tr1|ai0.5|spread|s1001,3.5,0.959184
main~main|R150|sp20|k16|tr1|ai0.5|spread|s1001,3.75,0.979592
main~main|R150|sp20|k16|tr1|ai0.5|spread|s1001,4,1
main~main|R200|sp20|k4|tr1|ai0.5|spread|s1001,0,0.0233463
main~main|R200|sp20|k4|tr1|ai0.5|spread|s1001,0.25,0.354086
main~main|R200|sp20|k4|tr1|ai0.5|spread|s1001,0.5,0.396887
main~main|R200|sp20|k4|tr1|ai0.5|spread|s1001,1.25,0.63035
main~main|R200|sp20|k4|tr1|ai0.5|spread|s1001,1.5,0.645914
main~main|R200|sp20|k4|tr1|ai0.5|spread|s1001,2,0.653696
main~main|R200|sp20|k4|tr1|ai0.5|spread|s1001,2.25,0.801556
main~main|R200|sp20|k4|tr1|ai0.5|spread|s1001,2.5,0.88716
main~main|R200|sp20|k4|tr1|ai0.5|spread|s1001,2.75,0.902724
main~main|R200|sp20|k4|tr1|ai0.5|spread|s1001,3.25,0.922179
main~main|R200|sp20|k4|tr1|ai0.5|spread|s1001,3.5,0.961089
main~main|R200|sp20|k4|tr1|ai0.5|spread|s1001,3.75,0.996109
main~main|R200|sp20|k4|tr1|ai0.5|spread|s1001,5,1
