time_seconds,src_node_id,dst_node_id,fragment_id,success,rssi_dbm
5.2,226,4294967295,0,false,0
5.4,226,4294967295,1,false,0
5.6,226,4294967295,2,false,0
5.8,226,4294967295,3,false,0
6,226,4294967295,4,false,0
6.2,226,4294967295,5,false,0
6.4,226,4294967295,6,false,0
6.6,226,4294967295,7,false,0
6.8,226,4294967295,8,false,0
7,226,4294967295,9,false,0
7.2,226,4294967295,10,false,0
7.4,226,4294967295,11,false,0
7.6,226,4294967295,12,false,0
7.8,226,4294967295,13,false,0
8,226,4294967295,14,false,0
8.2,226,4294967295,15,false,0
8.4,226,4294967295,16,false,0
8.6,226,4294967295,17,false,0
8.8,226,4294967295,18,false,0
9,226,4294967295,19,false,0
9.2,226,4294967295,0,false,0
9.4,226,4294967295,1,false,0
9.6,226,4294967295,2,false,0
9.8,226,4294967295,3,false,0
10,226,4294967295,4,false,0
10.2,226,4294967295,5,false,0
10.4,226,4294967295,6,false,0
10.6,226,4294967295,7,false,0
10.8,226,4294967295,8,false,0
11,226,4294967295,9,false,0
11.2,226,4294967295,10,false,0
11.4,226,4294967295,11,false,0
11.6,226,4294967295,12,false,0
11.8,226,4294967295,13,false,0
12,226,4294967295,14,false,0
12.2,226,4294967295,15,false,0
12.4,226,4294967295,16,false,0
12.6,226,4294967295,17,false,0
12.8,226,4294967295,18,false,0
13,226,4294967295,19,false,0
13.2,226,4294967295,0,false,0
13.4,226,4294967295,1,false,0
13.6,226,4294967295,2,false,0
13.8,226,4294967295,3,false,0
14,226,4294967295,4,false,0
14.2,226,4294967295,5,true,-80.4769
14.2,226,150,5,true,-80.4769
14.4,226,4294967295,6,true,-86.7026
14.4,226,135,6,true,-86.7026
14.4,226,150,6,true,-84.3172
14.6,226,4294967295,7,true,-92.3535
14.6,226,135,7,true,-92.3535
14.6,226,150,7,true,-76.4312
14.8,226,4294967295,8,true,-85.9244
14.8,226,135,8,true,-85.9244
14.8,226,150,8,true,-84.71
14.8,226,165,8,true,-88.5422
15,226,4294967295,9,true,-81.7066
15,226,135,9,true,-81.7066
15,226,150,9,true,-73.1419
15,226,151,9,true,-88.4625
15,226,165,9,true,-79.3698
15.2,226,4294967295,10,true,-81.4188
15.2,226,135,10,true,-81.4188
15.2,226,150,10,true,-70.7993
15.2,226,151,10,true,-88.3189
15.2,226,165,10,true,-89.9655
15.4,226,4294967295,11,true,-89.1863
15.4,226,135,11,true,-89.1863
15.4,226,150,11,true,-69.9284
15.4,226,151,11,true,-84.6968
15.4,226,165,11,true,-85.5841
15.6,226,4294967295,12,true,-90.2488
15.6,226,135,12,true,-90.2488
15.6,226,150,12,true,-73.4334
15.6,226,151,12,true,-83.7576
15.6,226,165,12,true,-82.093
15.6,226,166,12,true,-88.2589
15.8,226,4294967295,13,true,-83.4547
15.8,226,135,13,true,-83.4547
15.8,226,136,13,true,-92.6978
15.8,226,150,13,true,-78.5857
15.8,226,151,13,true,-72.6228
15.8,226,165,13,true,-78.8269
16,226,4294967295,14,true,-90.294
16,226,135,14,true,-90.294
16,226,150,14,true,-73.8644
16,226,151,14,true,-86.3233
16,226,165,14,true,-82.3492
16,226,166,14,true,-86.74
16.2,226,4294967295,15,true,-90.1694
16.2,226,135,15,true,-90.1694
16.2,226,136,15,true,-88.3944
16.2,226,150,15,true,-74.1828
16.2,226,151,15,true,-64.252
16.2,226,165,15,true,-86.5892
16.2,226,166,15,true,-88.0618
16.4,226,4294967295,16,true,-81.3607
16.4,226,136,16,true,-81.3607
16.4,226,150,16,true,-81.9321
16.4,226,151,16,true,-64.3098
16.4,226,152,16,true,-82.7241
16.4,226,165,16,true,-86.0808
16.4,226,166,16,true,-76.5285
16.4,226,167,16,true,-89.6399
16.6,226,4294967295,17,true,-71.2197
16.6,226,136,17,true,-71.2197
16.6,226,151,17,true,-67.8667
16.6,226,152,17,true,-78.7888
16.6,226,165,17,true,-91.1031
16.6,226,166,17,true,-84.6928
16.6,226,167,17,true,-82.4614
16.8,226,4294967295,18,true,-81.4748
16.8,226,150,18,true,-81.4748
16.8,226,151,18,true,-75.8815
16.8,226,152,18,true,-81.06
16.8,226,165,18,true,-92.8258
16.8,226,166,18,true,-88.3841
17,226,4294967295,19,true,-77.893
17,226,151,19,true,-77.893
17,226,152,19,true,-85.5584
17,226,165,19,true,-88.5342
17,226,166,19,true,-77.0149
17,226,167,19,true,-85.9822
17.2,226,4294967295,0,true,-75.5427
17.2,226,151,0,true,-75.5427
17.2,226,152,0,true,-87.0102
17.2,226,153,0,true,-94.7698
17.2,226,166,0,true,-75.5016
17.2,226,167,0,true,-76.3818
17.2,226,168,0,true,-89.8719
17.4,226,4294967295,1,true,-76.2603
17.4,226,152,1,true,-76.2603
17.4,226,153,1,true,-84.8008
17.4,226,166,1,true,-75.4713
17.4,226,167,1,true,-71.1816
17.4,226,168,1,true,-74.1309
17.6,226,4294967295,2,true,-75.3308
17.6,226,151,2,true,-75.3308
17.6,226,152,2,true,-88.1825
17.6,226,167,2,true,-69.2527
17.6,226,168,2,true,-93.2153
17.6,226,182,2,true,-91.7269
17.8,226,4294967295,3,true,-77.2344
17.8,226,152,3,true,-77.2344
17.8,226,167,3,true,-69.1675
17.8,226,168,3,true,-82.4729
17.8,226,182,3,true,-88.7169
18,226,4294967295,4,true,-92.3089
18,226,153,4,true,-92.3089
18,226,167,4,true,-71.8484
18,226,168,4,true,-56.9903
18,226,182,4,true,-94.2113
18.2,226,4294967295,5,true,-89.7875
18.2,226,153,5,true,-89.7875
18.2,226,167,5,true,-79.4616
18.2,226,168,5,true,-74.965
18.2,226,169,5,true,-92.6984
18.2,226,182,5,true,-92.3275
18.4,226,4294967295,6,true,-84.235
18.4,226,153,6,true,-84.235
18.4,226,154,6,true,-77.779
18.4,226,167,6,true,-82.8803
18.4,226,168,6,true,-68.6684
18.4,226,169,6,true,-93.4251
18.4,226,182,6,true,-77.6322
18.4,226,183,6,true,-82.0066
18.6,226,4294967295,7,true,-89.0833
18.6,226,154,7,true,-89.0833
18.6,226,168,7,true,-60.3873
18.6,226,169,7,true,-86.7555
18.6,226,182,7,true,-81.3905
18.8,226,4294967295,8,true,-94.6917
18.8,226,154,8,true,-94.6917
18.8,226,168,8,true,-61.7972
18.8,226,169,8,true,-78.2313
18.8,226,182,8,true,-89.3407
18.8,226,184,8,true,-73.0294
19,226,4294967295,9,true,-87.2687
19,226,153,9,true,-87.2687
19,226,154,9,true,-88.0216
19,226,167,9,true,-92.7894
19,226,168,9,true,-70.5265
19,226,169,9,true,-87.9006
19,226,183,9,true,-86.1022
19.2,226,4294967295,10,true,-75.8263
19.2,226,168,10,true,-75.8263
19.2,226,169,10,true,-75.9337
19.2,226,170,10,true,-85.117
19.2,226,183,10,true,-84.0031
19.2,226,184,10,true,-89.4032
19.4,226,4294967295,11,true,-78.3245
