time_seconds,x_meters,y_meters,z_meters
0,72.5,-200,20
1,72.5,-200,20
2,72.5,-200,20
3,72.5,-200,20
4,72.5,-200,20
5,72.5,-200,20
6,71.147,-180.128,18.1917
7,69.7939,-160.256,16.3834
8,68.4409,-140.384,14.5751
9,67.0879,-120.512,12.7668
10,65.7348,-100.64,10.9586
11,64.3818,-80.7675,9.15027
12,63.0288,-60.8955,7.34198
13,61.6757,-41.0234,5.53369
14,60.3227,-21.1513,3.7254
15,58.9697,-1.27924,1.91711
16,57.6166,18.5928,0.108823
17,76.3286,20.1256,0
18,96.3255,20.4668,0
19,116.325,20.4219,0
20,129.373,26.4205,0
21,126.545,46.2195,0
22,122.72,64.8359,0
23,102.728,64.2764,0
24,82.7358,63.7169,0
25,62.7563,64.6168,0
26,42.7773,65.5324,0
27,22.8051,66.5861,0
28,13.712,57.2766,0
29,15.734,37.3791,0
30,18.1116,17.5537,0.222394
31,22.9435,-1.77416,1.97947
32,27.7755,-21.102,3.73654
33,32.6075,-40.4298,5.49362
