time_seconds,src_node_id,dst_node_id,fragment_id,success,rssi_dbm
5.2,101,4294967295,0,false,0
5.4,101,4294967295,1,false,0
5.6,101,4294967295,2,false,0
5.8,101,4294967295,3,false,0
6,101,4294967295,4,false,0
6.2,101,4294967295,5,false,0
6.4,101,4294967295,6,false,0
6.6,101,4294967295,7,false,0
6.8,101,4294967295,8,false,0
7,101,4294967295,9,false,0
7.2,101,4294967295,0,false,0
7.4,101,4294967295,1,false,0
7.6,101,4294967295,2,false,0
7.8,101,4294967295,3,false,0
8,101,4294967295,4,false,0
8.2,101,4294967295,5,false,0
8.4,101,4294967295,6,false,0
8.6,101,4294967295,7,false,0
8.8,101,4294967295,8,false,0
9,101,4294967295,9,false,0
9.2,101,4294967295,0,false,0
9.4,101,4294967295,1,false,0
9.6,101,4294967295,2,false,0
9.8,101,4294967295,3,false,0
10,101,4294967295,4,false,0
10.2,101,4294967295,5,false,0
10.4,101,4294967295,6,false,0
10.6,101,4294967295,7,false,0
10.8,101,4294967295,8,false,0
11,101,4294967295,9,false,0
11.2,101,4294967295,0,false,0
11.4,101,4294967295,1,false,0
11.6,101,4294967295,2,false,0
11.8,101,4294967295,3,false,0
12,101,4294967295,4,false,0
12.2,101,4294967295,5,false,0
12.4,101,4294967295,6,false,0
12.6,101,4294967295,7,false,0
12.8,101,4294967295,8,false,0
13,101,4294967295,9,false,0
13.2,101,4294967295,0,false,0
13.4,101,4294967295,1,false,0
13.6,101,4294967295,2,false,0
13.8,101,4294967295,3,true,-89.5206
13.8,101,40,3,true,-89.5206
14,101,4294967295,4,true,-86.0707
14,101,40,4,true,-86.0707
14,101,50,4,true,-87.704
14.2,101,4294967295,5,true,-94.7972
14.2,101,40,5,true,-94.7972
14.4,101,4294967295,6,true,-89.6698
14.4,101,50,6,true,-89.6698
14.6,101,4294967295,7,true,-89.2609
14.6,101,40,7,true,-89.2609
14.6,101,50,7,true,-92.6703
14.6,101,60,7,true,-93.1804
14.8,101,4294967295,8,true,-90.4929
14.8,101,40,8,true,-90.4929
14.8,101,41,8,true,-75.2058
14.8,101,50,8,true,-80.9281
14.8,101,60,8,true,-74.7151
15,101,4294967295,9,true,-85.0031
15,101,40,9,true,-85.0031
15,101,50,9,true,-71.0166
15,101,51,9,true,-94.4534
15,101,60,9,true,-89.2533
15.2,101,4294967295,0,true,-86.8561
15.2,101,40,0,true,-86.8561
15.2,101,41,0,true,-90.5943
15.2,101,50,0,true,-74.2827
15.4,101,4294967295,1,true,-92.9839
15.4,101,40,1,true,-92.9839
15.4,101,41,1,true,-89.3901
15.4,101,50,1,true,-68.3897
15.4,101,51,1,true,-75.4554
15.6,101,4294967295,2,true,-84.633
15.6,101,40,2,true,-84.633
15.6,101,50,2,true,-62.7039
15.6,101,51,2,true,-80.237
15.8,101,4294967295,3,true,-72.3841
15.8,101,40,3,true,-72.3841
15.8,101,50,3,true,-90.4139
15.8,101,51,3,true,-82.5996
15.8,101,61,3,true,-75.7642
16,101,4294967295,4,true,-87.9754
16,101,40,4,true,-87.9754
16,101,41,4,true,-74.9483
16,101,50,4,true,-90.8035
16,101,51,4,true,-71.57
16,101,52,4,true,-90.6509
16.2,101,4294967295,5,true,-92.6073
16.2,101,41,5,true,-92.6073
16.2,101,50,5,true,-89.0243
16.2,101,51,5,true,-65.3556
16.2,101,52,5,true,-94.4328
16.2,101,61,5,true,-91.1464
16.4,101,4294967295,6,true,-90.2533
16.4,101,41,6,true,-90.2533
16.4,101,50,6,true,-91.9034
16.4,101,51,6,true,-69.3857
16.4,101,61,6,true,-92.4311
16.6,101,4294967295,7,true,-86.8056
16.6,101,51,7,true,-86.8056
16.6,101,52,7,true,-80.2118
16.6,101,61,7,true,-90.9365
16.6,101,62,7,true,-80.3693
16.8,101,4294967295,8,true,-89.5984
16.8,101,52,8,true,-89.5984
16.8,101,61,8,true,-88.4662
16.8,101,62,8,true,-94.0916
17,101,4294967295,9,true,-80.6508
17,101,51,9,true,-80.6508
17,101,52,9,true,-85.367
17,101,61,9,true,-84.7671
17,101,62,9,true,-79.1208
17.2,101,4294967295,0,true,-86.0629
17.2,101,52,0,true,-86.0629
17.2,101,61,0,true,-61.4201
17.2,101,62,0,true,-79.1177
17.2,101,71,0,true,-84.4367
17.4,101,4294967295,1,true,-83.2547
17.4,101,51,1,true,-83.2547
17.4,101,52,1,true,-81.5988
17.4,101,61,1,true,-75.4743
17.4,101,62,1,true,-93.0938
17.4,101,72,1,true,-91.6444
17.5083,101,51,0,false,0
17.5083,101,51,8,false,0
17.6,101,4294967295,2,true,-79.9214
17.6,101,61,2,true,-79.9214
17.6,101,72,2,true,-89.2513
17.8,101,4294967295,3,true,-89.0302
17.8,101,61,3,true,-89.0302
17.8,101,62,3,true,-93.5575
17.8,101,71,3,true,-73.3945
17.8,101,72,3,true,-86.2078
18,101,4294967295,4,true,-82.388
18,101,61,4,true,-82.388
18,101,62,4,true,-84.3815
18,101,71,4,true,-79.5799
18,101,72,4,true,-82.3362
18.2,101,4294967295,5,true,-94.9164
18.2,101,61,5,true,-94.9164
18.2,101,62,5,true,-75.2192
18.2,101,71,5,true,-79.3268
18.2,101,72,5,true,-77.5612
18.4,101,4294967295,6,true,-77.5802
18.4,101,71,6,true,-77.5802
18.4,101,72,6,true,-87.2737
18.6,101,4294967295,7,true,-73.9296
18.6,101,71,7,true,-73.9296
