time_seconds,src_node_id,dst_node_id,fragment_id,success,rssi_dbm
5.2,626,4294967295,0,false,0
5.4,626,4294967295,1,false,0
5.6,626,4294967295,2,false,0
5.8,626,4294967295,3,false,0
6,626,4294967295,4,false,0
6.2,626,4294967295,5,false,0
6.4,626,4294967295,6,false,0
6.6,626,4294967295,7,false,0
6.8,626,4294967295,8,false,0
7,626,4294967295,9,false,0
7.2,626,4294967295,10,false,0
7.4,626,4294967295,11,false,0
7.6,626,4294967295,12,false,0
7.8,626,4294967295,13,false,0
8,626,4294967295,14,false,0
8.2,626,4294967295,15,false,0
8.4,626,4294967295,16,false,0
8.6,626,4294967295,17,false,0
8.8,626,4294967295,18,false,0
9,626,4294967295,19,false,0
9.2,626,4294967295,20,false,0
9.4,626,4294967295,21,false,0
9.6,626,4294967295,22,false,0
9.8,626,4294967295,23,false,0
10,626,4294967295,24,false,0
10.2,626,4294967295,25,false,0
10.4,626,4294967295,26,false,0
10.6,626,4294967295,27,false,0
10.8,626,4294967295,28,false,0
11,626,4294967295,29,false,0
11.2,626,4294967295,0,false,0
11.4,626,4294967295,1,false,0
11.6,626,4294967295,2,false,0
11.8,626,4294967295,3,false,0
12,626,4294967295,4,false,0
12.2,626,4294967295,5,false,0
12.4,626,4294967295,6,false,0
12.6,626,4294967295,7,false,0
12.8,626,4294967295,8,false,0
13,626,4294967295,9,false,0
13.2,626,4294967295,10,true,-90.2969
13.2,626,300,10,true,-90.2969
13.4,626,4294967295,11,true,-88.1659
13.4,626,325,11,true,-88.1659
13.6,626,4294967295,12,true,-84.6296
13.6,626,300,12,true,-84.6296
13.6,626,325,12,true,-81.0451
13.8,626,4294967295,13,true,-90.1113
13.8,626,275,13,true,-90.1113
13.8,626,300,13,true,-85.1632
13.8,626,325,13,true,-81.6391
14,626,4294967295,14,true,-86.2448
14,626,275,14,true,-86.2448
14,626,300,14,true,-83.628
14,626,325,14,true,-93.4694
14.2,626,4294967295,15,true,-93.308
14.2,626,275,15,true,-93.308
14.2,626,300,15,true,-82.3455
14.2,626,325,15,true,-85.148
14.4,626,4294967295,16,true,-91.8303
14.4,626,275,16,true,-91.8303
14.4,626,300,16,true,-87.4959
14.4,626,301,16,true,-89.5092
14.4,626,325,16,true,-88.904
14.6,626,4294967295,17,true,-79.7433
14.6,626,275,17,true,-79.7433
14.6,626,300,17,true,-80.9748
14.6,626,301,17,true,-80.2806
14.6,626,325,17,true,-84.5187
14.6,626,326,17,true,-88.5273
14.8,626,4294967295,18,true,-81.8319
14.8,626,275,18,true,-81.8319
14.8,626,300,18,true,-69.3618
14.8,626,301,18,true,-86.1977
14.8,626,325,18,true,-71.0073
14.8,626,326,18,true,-91.6409
15,626,4294967295,19,true,-80.2048
15,626,275,19,true,-80.2048
15,626,300,19,true,-74.2208
15,626,301,19,true,-82.9569
15,626,325,19,true,-69.3413
15,626,326,19,true,-88.6924
15.2,626,4294967295,20,true,-78.6407
15.2,626,275,20,true,-78.6407
15.2,626,276,20,true,-80.7138
15.2,626,300,20,true,-71.4899
15.2,626,301,20,true,-81.449
15.2,626,325,20,true,-88.2006
15.2,626,326,20,true,-82.1591
15.4,626,4294967295,21,true,-77.235
15.4,626,275,21,true,-77.235
15.4,626,300,21,true,-67.1512
15.4,626,301,21,true,-74.9884
15.4,626,325,21,true,-76.3002
15.4,626,326,21,true,-79.6216
15.6,626,4294967295,22,true,-92.295
15.6,626,275,22,true,-92.295
15.6,626,276,22,true,-90.8477
15.6,626,300,22,true,-69.3297
15.6,626,301,22,true,-72.6851
15.6,626,302,22,true,-85.1272
15.6,626,325,22,true,-78.3404
15.6,626,326,22,true,-80.1121
15.8,626,4294967295,23,true,-76.4529
15.8,626,276,23,true,-76.4529
15.8,626,300,23,true,-90.9896
15.8,626,301,23,true,-75.1875
15.8,626,302,23,true,-93.6036
15.8,626,325,23,true,-86.8459
15.8,626,326,23,true,-84.066
16,626,4294967295,24,true,-86.1343
16,626,276,24,true,-86.1343
16,626,300,24,true,-83.7803
16,626,301,24,true,-67.6736
16,626,302,24,true,-76.36
16,626,325,24,true,-84.3991
16,626,327,24,true,-80.0972
16.2,626,4294967295,25,true,-80.7979
16.2,626,276,25,true,-80.7979
16.2,626,300,25,true,-81.9281
16.2,626,301,25,true,-72.3644
16.2,626,302,25,true,-84.6698
16.2,626,325,25,true,-84.8948
16.2,626,326,25,true,-93.0385
16.4,626,4294967295,26,true,-86.4008
16.4,626,300,26,true,-86.4008
16.4,626,301,26,true,-76.394
16.4,626,302,26,true,-93.2611
16.4,626,326,26,true,-85.4988
16.4,626,327,26,true,-90.5532
16.6,626,4294967295,27,true,-91.2635
16.6,626,276,27,true,-91.2635
16.6,626,301,27,true,-84.1739
16.6,626,302,27,true,-75.0147
16.6,626,326,27,true,-77.7138
16.6,626,327,27,true,-78.6115
16.8,626,4294967295,28,true,-92.152
16.8,626,301,28,true,-92.152
16.8,626,302,28,true,-73.4104
16.8,626,303,28,true,-84.905
16.8,626,326,28,true,-82.3162
16.8,626,327,28,true,-74.9608
16.8,626,328,28,true,-91.0301
17,626,4294967295,29,true,-86.9078
17,626,277,29,true,-86.9078
17,626,301,29,true,-78.3493
17,626,302,29,true,-67.8837
17,626,303,29,true,-85.8585
17,626,326,29,true,-86.5569
17,626,327,29,true,-86.4717
17,626,328,29,true,-79.2104
17.2,626,4294967295,0,true,-83.9345
17.2,626,301,0,true,-83.9345
17.2,626,302,0,true,-74.0284
17.2,626,303,0,true,-90.5679
17.2,626,326,0,true,-94.4677
17.2,626,327,0,true,-74.3735
17.2,626,328,0,true,-83.5815
17.4,626,4294967295,1,true,-94.1484
17.4,626,277,1,true,-94.1484
17.4,626,302,1,true,-72.5829
17.4,626,303,1,true,-86.7343
17.4,626,327,1,true,-83.2286
17.4,626,328,1,true,-80.9947
17.6,626,4294967295,2,true,-81.746
17.6,626,278,2,true,-81.746
17.6,626,302,2,true,-75.3629
17.6,626,303,2,true,-73.2924
17.6,626,304,2,true,-81.3673
17.6,626,327,2,true,-73.9133
17.6,626,328,2,true,-81.203
17.8,626,4294967295,3,true,-82.9295
17.8,626,278,3,true,-82.9295
17.8,626,302,3,true,-75.7601
17.8,626,303,3,true,-71.7106
17.8,626,304,3,true,-80.1885
17.8,626,327,3,true,-79.9096
17.8,626,328,3,true,-59.3354
18,626,4294967295,4,true,-73.5835
18,626,302,4,true,-73.5835
18,626,303,4,true,-69.747
18,626,304,4,true,-86.201
18,626,327,4,true,-87.5363
18,626,328,4,true,-80.8033
18,626,329,4,true,-85.82
18.2,626,4294967295,5,true,-72.0856
18.2,626,303,5,true,-72.0856
18.2,626,304,5,true,-85.3316
18.2,626,328,5,true,-79.7859
18.2,626,329,5,true,-89.5621
18.4,626,4294967295,6,true,-75.7683
18.4,626,303,6,true,-75.7683
18.4,626,304,6,true,-76.6769
18.4,626,328,6,true,-73.273
18.4,626,329,6,true,-80.1924
18.6,626,4294967295,7,true,-92.9937
18.6,626,279,7,true,-92.9937
18.6,626,303,7,true,-77.0201
18.6,626,304,7,true,-72.1533
18.6,626,305,7,true,-91.8281
18.6,626,328,7,true,-67.4026
18.6,626,329,7,true,-81.2624
18.8,626,4294967295,8,true,-75.248
18.8,626,303,8,true,-75.248
18.8,626,304,8,true,-75.8683
18.8,626,305,8,true,-81.728
18.8,626,328,8,true,-82.3924
18.8,626,329,8,true,-73.895
18.8,626,330,8,true,-94.3101
19,626,4294967295,9,true,-82.3328
19,626,279,9,true,-82.3328
19,626,303,9,true,-90.47
19,626,304,9,true,-71.8227
19,626,305,9,true,-94.9558
19,626,328,9,true,-89.3327
19,626,329,9,true,-81.1505
19,626,330,9,true,-79.0718
19.2,626,4294967295,10,true,-89.6874
19.2,626,279,10,true,-89.6874
19.2,626,303,10,true,-86.1626
19.2,626,304,10,true,-68.4585
19.2,626,305,10,true,-77.2259
19.2,626,328,10,true,-79.6182
19.2,626,329,10,true,-79.3296
19.2,626,330,10,true,-83.2662
19.4,626,4294967295,11,true,-74.8113
19.4,626,304,11,true,-74.8113
19.4,626,305,11,true,-76.5855
19.4,626,328,11,true,-89.0146
19.4,626,329,11,true,-78.7814
19.4,626,330,11,true,-77.748
19.6,626,4294967295,12,true,-89.805
19.6,626,304,12,true,-89.805
19.6,626,305,12,true,-80.7238
19.6,626,306,12,true,-82.7986
19.6,626,329,12,true,-83.5134
19.6,626,330,12,true,-81.827
19.8,626,4294967295,13,true,-86.989
19.8,626,304,13,true,-86.989
19.8,626,305,13,true,-81.6688
19.8,626,306,13,true,-85.9877
19.8,626,329,13,true,-89.4485
19.8,626,330,13,true,-88.2225
19.8,626,331,13,true,-84.3973
20,626,4294967295,14,true,-91.3015
20,626,280,14,true,-91.3015
20,626,304,14,true,-88.3057
20,626,305,14,true,-82.9455
20,626,306,14,true,-86.4372
20,626,329,14,true,-74.1756
20,626,330,14,true,-72.8021
20.2,626,4294967295,15,true,-84.1115
20.2,626,280,15,true,-84.1115
20.2,626,304,15,true,-82.8026
20.2,626,305,15,true,-77.634
20.2,626,306,15,true,-83.0606
20.2,626,329,15,true,-90.9016
20.2,626,330,15,true,-80.3262
20.2,626,331,15,true,-78.6214
20.4,626,4294967295,16,true,-81.6159
20.4,626,304,16,true,-81.6159
20.4,626,305,16,true,-76.3188
20.4,626,306,16,true,-86.3432
20.4,626,329,16,true,-92.7707
20.4,626,330,16,true,-81.553
20.4,626,331,16,true,-77.8241
20.6,626,4294967295,17,true,-91.0281
20.6,626,305,17,true,-91.0281
20.6,626,306,17,true,-84.4402
20.6,626,331,17,true,-67.282
20.8,626,4294967295,18,true,-88.34
20.8,626,281,18,true,-88.34
20.8,626,305,18,true,-76.036
20.8,626,306,18,true,-74.4402
20.8,626,330,18,true,-82.62
20.8,626,331,18,true,-78.1003
20.8,626,332,18,true,-89.4321
21,626,4294967295,19,true,-86.1118
21,626,305,19,true,-86.1118
21,626,306,19,true,-80.2567
21,626,307,19,true,-90.8571
21,626,330,19,true,-83.9584
21,626,331,19,true,-74.5994
21,626,332,19,true,-93.3347
21.2,626,4294967295,20,true,-80.3744
21.2,626,281,20,true,-80.3744
21.2,626,305,20,true,-92.189
21.2,626,306,20,true,-80.4687
21.2,626,307,20,true,-90.2366
21.2,626,330,20,true,-85.9705
21.2,626,331,20,true,-77.8781
21.2,626,332,20,true,-88.1698
21.2,626,356,20,true,-85.8065
21.4,626,4294967295,21,true,-72.5094
21.4,626,305,21,true,-72.5094
21.4,626,306,21,true,-73.6085
21.4,626,307,21,true,-75.2399
21.4,626,331,21,true,-88.0692
21.4,626,332,21,true,-77.0393
21.6,626,4294967295,22,true,-85.2893
21.6,626,306,22,true,-85.2893
21.6,626,307,22,true,-81.649
21.6,626,308,22,true,-87.4913
21.6,626,331,22,true,-84.8462
21.6,626,332,22,true,-77.9783
21.8,626,4294967295,23,true,-92.493
21.8,626,306,23,true,-92.493
21.8,626,307,23,true,-80.2684
21.8,626,331,23,true,-77.8035
21.8,626,332,23,true,-84.7977
22,626,4294967295,24,true,-81.6169
22,626,282,24,true,-81.6169
22,626,307,24,true,-66.5878
