time_seconds,x_meters,y_meters,z_meters
0,240,-200,20
1,240,-200,20
2,240,-200,20
3,240,-200,20
4,240,-200,20
5,240,-200,20
6,240.618,-180.026,19.1853
7,241.236,-160.052,18.3706
8,241.854,-140.078,17.5559
9,242.472,-120.105,16.7413
10,243.09,-100.131,15.9266
11,243.708,-80.157,15.1119
12,244.326,-60.1831,14.2972
13,244.944,-40.2093,13.4825
14,245.562,-20.2354,12.6678
15,246.18,-0.261592,11.8531
16,246.798,19.7122,11.0385
17,247.416,39.6861,10.2238
18,248.034,59.6599,9.40909
19,248.653,79.6338,8.5944
20,249.271,99.6076,7.77972
21,249.889,119.581,6.96503
22,250.507,139.555,6.15035
23,251.125,159.529,5.33566
24,251.743,179.503,4.52098
25,252.361,199.477,3.70629
26,252.979,219.451,2.8916
27,253.597,239.424,2.07692
28,254.215,259.398,1.26223
29,254.833,279.372,0.447548
30,254.405,299.325,0
31,252.703,319.252,0
32,251,339.18,0
33,249.298,359.107,0
34,247.595,379.035,0
35,251.376,398.251,0
36,258.102,417.086,0
37,264.829,435.921,0
38,271.556,454.756,0
39,253.487,453.517,0
40,233.664,450.857,0
41,213.842,448.198,0
42,194.02,445.539,0
43,174.197,442.88,0
44,154.275,441.244,0
45,134.312,440.027,0
46,114.349,438.811,0
47,94.3861,437.595,0
48,97.1685,424.997,0
49,108.162,408.289,0
50,119.156,391.582,0
51,130.149,374.874,0
52,141.143,358.167,0
53,152.137,341.459,0
54,170.088,338.435,0
55,190.065,339.394,0
56,210.042,340.353,0
57,230.019,341.312,0
58,249.996,342.271,0
59,269.973,343.229,0
60,289.95,344.188,0
61,309.927,345.147,0
62,329.904,346.106,0
63,347.885,349.724,0
64,354.384,368.639,0
65,360.882,387.553,0
66,367.38,406.468,0
67,373.879,425.383,0
68,379.753,442.066,0.0352579
69,375.502,422.533,0.64264
70,371.25,402.999,1.25002
71,366.998,383.466,1.8574
72,362.746,363.932,2.46479
73,358.495,344.399,3.07217
74,354.243,324.866,3.67955
75,349.991,305.332,4.28693
76,345.74,285.799,4.89432
77,341.488,266.265,5.5017
78,337.236,246.732,6.10908
79,332.985,227.199,6.71646
80,328.733,207.665,7.32385
81,324.481,188.132,7.93123
82,320.23,168.598,8.53861
83,315.978,149.065,9.14599
84,311.726,129.531,9.75338
85,307.475,109.998,10.3608
86,303.223,90.4646,10.9681
87,298.971,70.9312,11.5755
88,294.72,51.3978,12.1829
89,290.468,31.8644,12.7903
90,286.216,12.331,13.3977
91,281.965,-7.20246,14.0051
92,277.713,-26.7359,14.6124
93,273.461,-46.2693,15.2198
94,269.21,-65.8027,15.8272
95,264.958,-85.3361,16.4346
96,260.706,-104.87,17.042
97,256.455,-124.403,17.6493
98,252.203,-143.936,18.2567
99,247.951,-163.47,18.8641
100,243.7,-183.003,19.4715
101,240,-200,20
102,240,-200,20
103,240,-200,20
104,240,-200,20
105,240,-200,20
106,240,-200,20
107,240,-200,20
108,240,-200,20
109,240,-200,20
110,240,-200,20
111,240,-200,20
112,240,-200,20
113,240,-200,20
114,240,-200,20
115,240,-200,20
116,240,-200,20
117,240,-200,20
118,240,-200,20
119,240,-200,20
120,240,-200,20
121,240,-200,20
122,240,-200,20
123,240,-200,20
124,240,-200,20
125,240,-200,20
126,240,-200,20
127,240,-200,20
128,240,-200,20
129,240,-200,20
130,240,-200,20
131,240,-200,20
132,240,-200,20
133,240,-200,20
134,240,-200,20
135,240,-200,20
136,240,-200,20
137,240,-200,20
138,240,-200,20
139,240,-200,20
140,240,-200,20
141,240,-200,20
142,240,-200,20
143,240,-200,20
144,240,-200,20
145,240,-200,20
146,240,-200,20
147,240,-200,20
148,240,-200,20
149,240,-200,20
150,240,-200,20
151,240,-200,20
152,240,-200,20
153,240,-200,20
154,240,-200,20
155,240,-200,20
156,240,-200,20
157,240,-200,20
158,240,-200,20
159,240,-200,20
160,240,-200,20
161,240,-200,20
162,240,-200,20
163,240,-200,20
164,240,-200,20
165,240,-200,20
166,240,-200,20
167,240,-200,20
168,240,-200,20
169,240,-200,20
170,240,-200,20
171,240,-200,20
172,240,-200,20
173,240,-200,20
174,240,-200,20
175,240,-200,20
176,240,-200,20
177,240,-200,20
178,240,-200,20
179,240,-200,20
180,240,-200,20
181,240,-200,20
182,240,-200,20
183,240,-200,20
184,240,-200,20
185,240,-200,20
186,240,-200,20
187,240,-200,20
188,240,-200,20
189,240,-200,20
190,240,-200,20
191,240,-200,20
192,240,-200,20
193,240,-200,20
194,240,-200,20
195,240,-200,20
196,240,-200,20
197,240,-200,20
198,240,-200,20
199,240,-200,20
200,240,-200,20
201,240,-200,20
202,240,-200,20
203,240,-200,20
204,240,-200,20
205,240,-200,20
206,240,-200,20
207,240,-200,20
208,240,-200,20
209,240,-200,20
210,240,-200,20
211,240,-200,20
212,240,-200,20
213,240,-200,20
214,240,-200,20
215,240,-200,20
216,240,-200,20
217,240,-200,20
218,240,-200,20
219,240,-200,20
220,240,-200,20
221,240,-200,20
222,240,-200,20
223,240,-200,20
224,240,-200,20
225,240,-200,20
226,240,-200,20
227,240,-200,20
228,240,-200,20
229,240,-200,20
230,240,-200,20
231,240,-200,20
232,240,-200,20
233,240,-200,20
234,240,-200,20
235,240,-200,20
236,240,-200,20
237,240,-200,20
238,240,-200,20
239,240,-200,20
240,240,-200,20
241,240,-200,20
242,240,-200,20
243,240,-200,20
244,240,-200,20
245,240,-200,20
246,240,-200,20
247,240,-200,20
248,240,-200,20
249,240,-200,20
250,240,-200,20
251,240,-200,20
252,240,-200,20
253,240,-200,20
254,240,-200,20
255,240,-200,20
256,240,-200,20
257,240,-200,20
258,240,-200,20
259,240,-200,20
260,240,-200,20
261,240,-200,20
262,240,-200,20
263,240,-200,20
264,240,-200,20
265,240,-200,20
266,240,-200,20
267,240,-200,20
268,240,-200,20
269,240,-200,20
270,240,-200,20
271,240,-200,20
272,240,-200,20
273,240,-200,20
274,240,-200,20
275,240,-200,20
276,240,-200,20
277,240,-200,20
278,240,-200,20
279,240,-200,20
280,240,-200,20
281,240,-200,20
282,240,-200,20
283,240,-200,20
284,240,-200,20
285,240,-200,20
286,240,-200,20
287,240,-200,20
288,240,-200,20
289,240,-200,20
290,240,-200,20
291,240,-200,20
292,240,-200,20
293,240,-200,20
294,240,-200,20
295,240,-200,20
296,240,-200,20
297,240,-200,20
298,240,-200,20
299,240,-200,20
300,240,-200,20
301,240,-200,20
302,240,-200,20
303,240,-200,20
304,240,-200,20
305,240,-200,20
306,240,-200,20
307,240,-200,20
308,240,-200,20
309,240,-200,20
310,240,-200,20
311,240,-200,20
312,240,-200,20
313,240,-200,20
314,240,-200,20
315,240,-200,20
